"","Chunk","ChunkHash","B"
"132","compact-framework",132,-6.62306871551015
"133","compatibility",133,-6.91108306907481
"134","compiler",134,-6.21693871376047
"135","compiz",135,-8.01035958891978
"136","complexity",136,-8.01035958891978
"137","components",137,-8.01035958891978
"138","compression",138,-7.31688034792179
"139","computer",139,-8.01035958891978
"140","computer-science",140,-7.31688034792179
"141","concepts",141,-6.91108306907481
"142","concurrency",142,-8.01035958891978
"143","conferences",143,-7.31688034792179
"144","configuration",144,-6.39959277263563
"145","configuration-files",145,-8.01035958891978
"146","confirm",146,-8.01035958891978
"147","connection",147,-8.01035958891978
"148","connection-string",148,-8.01035958891978
"149","console",149,-7.31688034792179
"150","construction",150,-8.01035958891978
"151","consultant",151,-8.01035958891978
"152","consulting",152,-8.01035958891978
"153","content",153,-8.01035958891978
"154","content-management-system",154,-7.31688034792179
"155","continuations",155,-8.01035958891978
"156","continuous-integration",156,-6.62306871551015
"157","contracting",157,-6.91108306907481
"158","contractor",158,-8.01035958891978
"159","contracts",159,-8.01035958891978
"160","contribute",160,-8.01035958891978
"161","controls",161,-6.91108306907481
"162","convention",162,-8.01035958891978
"163","conventions",163,-7.31688034792179
"164","conversion",164,-7.31688034792179
"165","convert",165,-7.31688034792179
"166","corecon",166,-8.01035958891978
"167","country",167,-8.01035958891978
"168","covariance",168,-8.01035958891978
"169","cpu",169,-7.31688034792179
"170","cracking",170,-8.01035958891978
"171","crash",171,-8.01035958891978
"172","crc32",172,-8.01035958891978
"173","cron",173,-8.01035958891978
"174","cross-browser",174,-7.31688034792179
"175","cross-platform",175,-7.31688034792179
"176","cruisecontrol.net",176,-6.39959277263563
"177","csla",177,-8.01035958891978
"178","css",178,-5.00829923429871
"179","csv",179,-5.92859130528947
"180","culture",180,-8.01035958891978
"181","curl",181,-8.01035958891978
"182","curses",182,-8.01035958891978
"183","custom",183,-8.01035958891978
"184","customization",184,-8.01035958891978
"185","cvs",185,-6.21693871376047
"186","cx-oracle",186,-7.31688034792179
"187","dash",187,-8.01035958891978
"188","data",188,-6.91108306907481
"189","data-binding",189,-7.31688034792179
"190","data-conversion",190,-8.01035958891978
"191","data-structures",191,-5.70478197498928
"192","database",192,-3.96657882911733
"193","database-design",193,-7.31688034792179
"194","datacontext",194,-8.01035958891978
"195","dataset",195,-8.01035958891978
"196","datatable",196,-6.91108306907481
"197","dataview",197,-8.01035958891978
"198","date",198,-6.91108306907481
"199","date-conversion",199,-8.01035958891978
"200","datetime",200,-6.91108306907481
"201","db2",201,-8.01035958891978
"202","dct",202,-8.01035958891978
"203","ddl",203,-8.01035958891978
"204","debian",204,-8.01035958891978
"205","debugging",205,-6.39959277263563
"206","decisions",206,-8.01035958891978
"207","default",207,-8.01035958891978
"208","defensive-programming",208,-8.01035958891978
"209","del.icio.us",209,-8.01035958891978
"210","delicious-api",210,-8.01035958891978
"211","delphi",211,-8.01035958891978
"212","dep",212,-8.01035958891978
"213","dependency-injection",213,-8.01035958891978
"214","dependency-properties",214,-8.01035958891978
"215","deployment",215,-6.39959277263563
"216","design",216,-5.92859130528947
"217","design-patterns",217,-6.62306871551015
"218","desktop",218,-8.01035958891978
"219","developerexpress",219,-8.01035958891978
"220","development",220,-6.39959277263563
"221","development-environment",221,-7.31688034792179
"222","devkitpro",222,-8.01035958891978
"223","diagram",223,-7.31688034792179
"224","diff",224,-8.01035958891978
"225","diplomacy",225,-8.01035958891978
"226","directed-graph",226,-8.01035958891978
"227","directory",227,-8.01035958891978
"228","directx",228,-8.01035958891978
"229","discussion",229,-6.21693871376047
"230","diy",230,-8.01035958891978
"231","django",231,-6.91108306907481
"232","dll",232,-8.01035958891978
"233","dns",233,-6.91108306907481
"234","dnsmasq",234,-8.01035958891978
"235","doctype",235,-8.01035958891978
"236","documentation",236,-6.39959277263563
"237","dom",237,-7.31688034792179
"238","double",238,-8.01035958891978
"239","dsl",239,-8.01035958891978
"240","dual",240,-8.01035958891978
"241","duplicates",241,-8.01035958891978
"242","dvcs",242,-6.39959277263563
"243","dvorak",243,-8.01035958891978
"244","dynamic-data",244,-8.01035958891978
"245","dynamic-sql",245,-8.01035958891978
"246","e-commerce",246,-8.01035958891978
"247","each",247,-8.01035958891978
"248","ear",248,-8.01035958891978
"249","easter-eggs",249,-8.01035958891978
"250","eclipse",250,-6.21693871376047
"251","eclipse-3.4",251,-8.01035958891978
"252","editor",252,-6.62306871551015
"253","education",253,-6.91108306907481
"254","emacs",254,-7.31688034792179
"255","email",255,-6.21693871376047
"256","email-spam",256,-7.31688034792179
"257","embed",257,-7.31688034792179
"258","embedded",258,-7.31688034792179
"259","embedded-database",259,-8.01035958891978
"260","encoding",260,-8.01035958891978
"261","encryption",261,-6.91108306907481
"262","enterprise",262,-8.01035958891978
"263","entrepreneurship",263,-8.01035958891978
"264","enums",264,-7.31688034792179
"265","environment",265,-6.91108306907481
"266","ergonomics",266,-6.91108306907481
"267","erlang",267,-7.31688034792179
"268","error-handling",268,-7.31688034792179
"269","etag",269,-8.01035958891978
"270","ethics",270,-8.01035958891978
"271","events",271,-6.62306871551015
"272","excel",272,-8.01035958891978
"273","exception",273,-6.06245542125761
"274","exchange",274,-8.01035958891978
"275","executable",275,-8.01035958891978
"276","exit",276,-8.01035958891978
"277","expand",277,-8.01035958891978
"278","exploit",278,-8.01035958891978
"279","extensibility",279,-8.01035958891978
"280","extension",280,-8.01035958891978
"281","extension-methods",281,-7.31688034792179
"282","extreme-programming",282,-8.01035958891978
"283","fallback",283,-8.01035958891978
"284","family",284,-8.01035958891978
"285","favicon",285,-6.91108306907481
"286","file",286,-6.06245542125761
"287","file-io",287,-8.01035958891978
"288","file-type",288,-8.01035958891978
"289","filehelpers",289,-8.01035958891978
"290","filemanagement",290,-8.01035958891978
"291","filenames",291,-8.01035958891978
"292","filesystems",292,-7.31688034792179
"293","firebird",293,-7.31688034792179
"294","firebug",294,-8.01035958891978
"295","firefox",295,-5.92859130528947
"296","flags",296,-8.01035958891978
"297","flash",297,-6.06245542125761
"298","flex",298,-5.44141821018871
"299","floating-point",299,-7.31688034792179
"300","flv",300,-8.01035958891978
"301","fogbugz",301,-6.91108306907481
"302","folding",302,-8.01035958891978
"303","fonts",303,-6.62306871551015
"304","for-xml",304,-8.01035958891978
"305","foreach",305,-8.01035958891978
"306","foreign-keys",306,-8.01035958891978
"307","form-submit",307,-8.01035958891978
"308","format",308,-7.31688034792179
"309","formatting",309,-8.01035958891978
"310","forms",310,-6.62306871551015
"311","forum",311,-8.01035958891978
"312","frameworks",312,-6.21693871376047
"313","free",313,-7.31688034792179
"314","freeware",314,-6.91108306907481
"315","ftp",315,-7.31688034792179
"316","full-text-search",316,-6.91108306907481
"317","fun",317,-8.01035958891978
"318","functional-programming",318,-6.91108306907481
"319","game-development",319,-6.91108306907481
"320","ganymede",320,-8.01035958891978
"321","genealogy",321,-8.01035958891978
"322","generation",322,-8.01035958891978
"323","generator",323,-8.01035958891978
"324","generics",324,-7.31688034792179
"325","geometry",325,-8.01035958891978
"326","getter",326,-7.31688034792179
"327","getting-started",327,-8.01035958891978
"328","gis",328,-7.31688034792179
"329","git",329,-6.39959277263563
"330","globalization",330,-7.31688034792179
"331","glossary",331,-6.91108306907481
"332","gltail",332,-8.01035958891978
"333","gmail",333,-8.01035958891978
"334","google",334,-6.91108306907481
"335","google-app-engine",335,-8.01035958891978
"336","google-perftools",336,-8.01035958891978
"337","grails",337,-8.01035958891978
"338","graph",338,-6.39959277263563
"339","graph-layout",339,-8.01035958891978
"340","graphics",340,-7.31688034792179
"341","graphing",341,-8.01035958891978
"342","gravatar",342,-8.01035958891978
"343","grid",343,-8.01035958891978
"344","groovy",344,-8.01035958891978
"345","group-by",345,-8.01035958891978
"346","groupwork",346,-8.01035958891978
"347","gtd",347,-8.01035958891978
"348","gtk",348,-6.91108306907481
"349","guide",349,-8.01035958891978
"350","guidelines",350,-8.01035958891978
"351","gwt",351,-8.01035958891978
"352","gzip",352,-8.01035958891978
"353","hacking",353,-7.31688034792179
"354","hacks",354,-7.31688034792179
"355","haml",355,-8.01035958891978
"356","hanging",356,-8.01035958891978
"357","hardware",357,-6.06245542125761
"358","hash",358,-6.91108306907481
"359","haskell",359,-8.01035958891978
"360","header",360,-8.01035958891978
"361","heap",361,-8.01035958891978
"362","height",362,-8.01035958891978
"363","helpfile",363,-8.01035958891978
"364","hex",364,-8.01035958891978
"365","hijacked",365,-8.01035958891978
"366","hiring",366,-8.01035958891978
"367","home-server",367,-8.01035958891978
"368","homework",368,-7.31688034792179
"369","hook",369,-8.01035958891978
"370","hosting",370,-6.91108306907481
"371","howto",371,-6.21693871376047
"372","hsl",372,-8.01035958891978
"373","html",373,-4.74392828019463
"374","html-content-extraction",374,-8.01035958891978
"375","html-lists",375,-8.01035958891978
"376","html-parsing",376,-8.01035958891978
"377","html-select",377,-8.01035958891978
"378","html5",378,-8.01035958891978
"379","http",379,-5.81047543554781
"380","http-referer",380,-8.01035958891978
"381","https",381,-8.01035958891978
"382","hungarian-notation",382,-8.01035958891978
"383","hyperlink",383,-8.01035958891978
"384","ibm",384,-7.31688034792179
"385","ibm-midrange",385,-8.01035958891978
"386","ical",386,-8.01035958891978
"387","icalendar",387,-8.01035958891978
"388","icedtea",388,-8.01035958891978
"389","icons",389,-7.31688034792179
"390","ide",390,-5.70478197498928
"391","ideas",391,-8.01035958891978
"392","ie-mobile",392,-8.01035958891978
"393","ienumerable",393,-8.01035958891978
"394","ienumerator",394,-8.01035958891978
"395","if-statement",395,-8.01035958891978
"396","iframe",396,-8.01035958891978
"397","iis",397,-5.70478197498928
"398","image",398,-6.91108306907481
"399","image-processing",399,-8.01035958891978
"400","impersonation",400,-8.01035958891978
"401","implementation",401,-8.01035958891978
"402","import",402,-8.01035958891978
"403","improvement",403,-8.01035958891978
"404","indexing",404,-6.39959277263563
"405","indexing-service",405,-7.31688034792179
"406","industry",406,-8.01035958891978
"407","inequality",407,-8.01035958891978
"408","informix",408,-8.01035958891978
"409","inheritance",409,-8.01035958891978
"410","ini",410,-8.01035958891978
"411","innerxml",411,-8.01035958891978
"412","installation",412,-7.31688034792179
"413","installer",413,-7.31688034792179
"414","instrumentation",414,-8.01035958891978
"415","int",415,-8.01035958891978
"416","integer",416,-8.01035958891978
"417","integration",417,-8.01035958891978
"418","intellisense",418,-8.01035958891978
"419","interbase",419,-8.01035958891978
"420","interface",420,-8.01035958891978
"421","internationalization",421,-6.39959277263563
"422","internet-explorer",422,-6.39959277263563
"423","internet-explorer-6",423,-6.91108306907481
"424","internet-explorer-7",424,-8.01035958891978
"425","internet-explorer-8",425,-8.01035958891978
"426","interop",426,-8.01035958891978
"427","interpreted",427,-8.01035958891978
"428","interview-questions",428,-6.39959277263563
"429","inversion-of-control",429,-7.31688034792179
"430","io",430,-7.31688034792179
"431","ip-address",431,-8.01035958891978
"432","iphone",432,-6.39959277263563
"433","ipod-touch",433,-8.01035958891978
"434","ironruby",434,-8.01035958891978
"435","isp",435,-8.01035958891978
"436","issue-tracking",436,-8.01035958891978
"437","iteration",437,-6.91108306907481
"438","j#",438,-7.31688034792179
"439","java",439,-4.30844736888416
"440","java-7",440,-8.01035958891978
"441","java-ee",441,-8.01035958891978
"442","javascript",442,-4.53427819087834
"443","jni",443,-8.01035958891978
"444","jnlp",444,-8.01035958891978
"445","job-boards",445,-8.01035958891978
"446","jobs",446,-6.39959277263563
"447","joeltest",447,-8.01035958891978
"448","joomla",448,-8.01035958891978
"449","jquery",449,-6.91108306907481
"450","jsf",450,-8.01035958891978
"451","junit",451,-8.01035958891978
"452","jxta",452,-8.01035958891978
"453","keyboard",453,-6.21693871376047
"454","ksh",454,-8.01035958891978
"455","lambda",455,-8.01035958891978
"456","lamp",456,-8.01035958891978
"457","language",457,-7.31688034792179
"458","language-agnostic",458,-4.06179436210342
"459","language-design",459,-8.01035958891978
"460","laptop",460,-8.01035958891978
"461","latitude",461,-8.01035958891978
"462","layout",462,-8.01035958891978
"463","lazy-initialization",463,-8.01035958891978
"464","leader",464,-8.01035958891978
"465","legacy",465,-7.31688034792179
"466","legal",466,-8.01035958891978
"467","library",467,-5.92859130528947
"468","lifecycle",468,-8.01035958891978
"469","lightweight",469,-8.01035958891978
"470","line-breaks",470,-8.01035958891978
"471","linear-algebra",471,-8.01035958891978
"472","linear-equation",472,-8.01035958891978
"473","lingo",473,-8.01035958891978
"474","linker",474,-8.01035958891978
"475","linq",475,-5.52179419565237
"476","linq-to-objects",476,-8.01035958891978
"477","linq-to-sql",477,-6.39959277263563
"478","linux",478,-4.95917490137094
"479","lisp",479,-7.31688034792179
"480","literals",480,-8.01035958891978
"481","localization",481,-8.01035958891978
"482","log4net",482,-8.01035958891978
"483","logging",483,-6.62306871551015
"484","logic",484,-8.01035958891978
"485","longitude",485,-8.01035958891978
"486","lookup",486,-8.01035958891978
"487","loops",487,-6.91108306907481
"488","lua",488,-8.01035958891978
"489","lucene",489,-8.01035958891978
"490","macromedia",490,-8.01035958891978
"491","macros",491,-8.01035958891978
"492","mailto",492,-7.31688034792179
"493","mainframe",493,-8.01035958891978
"494","maintainability",494,-8.01035958891978
"495","maintenance",495,-8.01035958891978
"496","malicious",496,-8.01035958891978
"497","malloc",497,-6.91108306907481
"498","management",498,-8.01035958891978
"499","mapi",499,-7.31688034792179
"500","mappath",500,-8.01035958891978
"501","mapping",501,-6.62306871551015
"502","maps",502,-6.21693871376047
"503","markup",503,-7.31688034792179
"504","marshalling",504,-8.01035958891978
"505","master-pages",505,-8.01035958891978
"506","math",506,-6.06245542125761
"507","matlab",507,-8.01035958891978
"508","mbunit",508,-7.31688034792179
"509","mcpd",509,-8.01035958891978
"510","mcts",510,-8.01035958891978
"511","media",511,-8.01035958891978
"512","medium-trust",512,-8.01035958891978
"513","membership",513,-7.31688034792179
"514","memory",514,-6.06245542125761
"515","memory-leaks",515,-8.01035958891978
"516","memory-management",516,-8.01035958891978
"517","mental-health",517,-7.31688034792179
"518","menu",518,-8.01035958891978
"519","mercurial",519,-8.01035958891978
"520","merge",520,-8.01035958891978
"521","mergesort",521,-8.01035958891978
"522","messaging",522,-8.01035958891978
"523","metacity",523,-8.01035958891978
"524","methods",524,-7.31688034792179
"525","mfc",525,-8.01035958891978
"526","microcontroller",526,-8.01035958891978
"527","microformats",527,-8.01035958891978
"528","microsoft",528,-6.62306871551015
"529","midi",529,-8.01035958891978
"530","migration",530,-6.62306871551015
"531","mobile",531,-8.01035958891978
"532","mocking",532,-6.62306871551015
"533","mod-rewrite",533,-7.31688034792179
"534","modem",534,-8.01035958891978
"535","modi",535,-8.01035958891978
"536","monads",536,-8.01035958891978
"537","moniker",537,-8.01035958891978
"538","monitor",538,-6.62306871551015
"539","monkeypatching",539,-8.01035958891978
"540","mono",540,-6.91108306907481
"541","moss",541,-8.01035958891978
"542","mouse",542,-8.01035958891978
"543","mp3",543,-8.01035958891978
"544","mp4",544,-8.01035958891978
"545","ms-access",545,-8.01035958891978
"546","msbuild",546,-6.21693871376047
"547","msdn",547,-8.01035958891978
"548","msdtc",548,-8.01035958891978
"549","msf",549,-8.01035958891978
"550","multilingual",550,-8.01035958891978
"551","multiple-monitors",551,-7.31688034792179
"552","multithreading",552,-5.81047543554781
"553","mvc",553,-5.52179419565237
"554","mvp",554,-8.01035958891978
"555","myeclipse",555,-8.01035958891978
"556","mysql",556,-4.6691505156515
"557","n-tier",557,-8.01035958891978
"558","namespaces",558,-8.01035958891978
"559","nant",559,-7.31688034792179
"560","nativelibrary",560,-8.01035958891978
"561","navigation",561,-8.01035958891978
"562","networking",562,-6.91108306907481
"563","new-project",563,-8.01035958891978
"564","nhibernate",564,-8.01035958891978
"565","non-technical",565,-8.01035958891978
"566","nslookup",566,-8.01035958891978
"567","null",567,-8.01035958891978
"568","nullpointerexception",568,-8.01035958891978
"569","numbers",569,-8.01035958891978
"570","obfuscation",570,-7.31688034792179
"571","object-database",571,-8.01035958891978
"572","object-datasource",572,-8.01035958891978
"573","objective-c",573,-6.91108306907481
"574","ocr",574,-7.31688034792179
"575","odbc",575,-8.01035958891978
"576","office-2003",576,-8.01035958891978
"577","office-2007",577,-7.31688034792179
"578","offshoring",578,-8.01035958891978
"579","olap",579,-8.01035958891978
"580","oledb",580,-8.01035958891978
"581","oop",581,-5.36697684913375
"582","open-source",582,-6.39959277263563
"583","opengl",583,-8.01035958891978
"584","openid",584,-7.31688034792179
"585","openjdk",585,-8.01035958891978
"586","operating-system",586,-8.01035958891978
"587","optimization",587,-6.62306871551015
"588","oracle",588,-6.62306871551015
"589","organizing",589,-7.31688034792179
"590","orm",590,-6.91108306907481
"591","osx",591,-5.11432775265339
"592","outlook",592,-8.01035958891978
"593","paging",593,-8.01035958891978
"594","paradigms",594,-8.01035958891978
"595","parallel-processing",595,-8.01035958891978
"596","parameters",596,-7.31688034792179
"597","parents",597,-8.01035958891978
"598","parsing",598,-7.31688034792179
"599","pass-by-reference",599,-7.31688034792179
"600","pass-by-value",600,-7.31688034792179
"601","passion",601,-8.01035958891978
"602","passwords",602,-8.01035958891978
"603","patchgeneration",603,-8.01035958891978
"604","path",604,-8.01035958891978
"605","patterns",605,-6.62306871551015
"606","payment",606,-8.01035958891978
"607","pdf",607,-6.39959277263563
"608","peer-review",608,-8.01035958891978
"609","performance",609,-4.86753445045558
"610","performance-monitoring",610,-8.01035958891978
"611","peripherals",611,-8.01035958891978
"612","perl",612,-6.39959277263563
"613","permissions",613,-7.31688034792179
"614","phing",614,-8.01035958891978
"615","photoshop",615,-8.01035958891978
"616","php",616,-4.18898111451695
"617","pi",617,-8.01035958891978
"618","picturebox",618,-8.01035958891978
"619","pinvoke",619,-8.01035958891978
"620","plan",620,-8.01035958891978
"621","planning",621,-7.31688034792179
"622","plot",622,-8.01035958891978
"623","plugins",623,-5.92859130528947
"624","pocketpc",624,-8.01035958891978
"625","podcast",625,-8.01035958891978
"626","pointers",626,-8.01035958891978
"627","polls",627,-6.06245542125761
"628","polymorphism",628,-8.01035958891978
"629","pop3",629,-8.01035958891978
"630","postgresql",630,-6.39959277263563
"631","powerpoint",631,-7.31688034792179
"632","powershell",632,-8.01035958891978
"633","presentations",633,-7.31688034792179
"634","primes",634,-7.31688034792179
"635","primitive",635,-7.31688034792179
"636","printf",636,-8.01035958891978
"637","printing",637,-7.31688034792179
"638","privileges",638,-8.01035958891978
"639","procedural",639,-7.31688034792179
"640","process-management",640,-8.01035958891978
"641","processes",641,-8.01035958891978
"642","product-management",642,-7.31688034792179
"643","productivity",643,-6.21693871376047
"644","profile",644,-7.31688034792179
"645","profiler",645,-8.01035958891978
"646","profiling",646,-8.01035958891978
"647","programmers",647,-8.01035958891978
"648","programming-languages",648,-7.31688034792179
"649","progressive-enhancement",649,-8.01035958891978
"650","project-hosting",650,-8.01035958891978
"651","project-planning",651,-7.31688034792179
"652","projects",652,-7.31688034792179
"653","projects-and-solutions",653,-8.01035958891978
"654","properties",654,-7.31688034792179
"655","propertygrid",655,-8.01035958891978
"656","protocol-buffers",656,-8.01035958891978
"657","prototype",657,-8.01035958891978
"658","prototyping",658,-8.01035958891978
"659","provider",659,-8.01035958891978
"660","proxy",660,-8.01035958891978
"661","publishers",661,-8.01035958891978
"662","purify",662,-8.01035958891978
"663","puzzle",663,-7.31688034792179
"664","pylons",664,-8.01035958891978
"665","python",665,-4.41515242255967
"666","qos",666,-8.01035958891978
"667","qstring",667,-8.01035958891978
"668","qt",668,-7.31688034792179
"669","quality",669,-7.31688034792179
"670","query",670,-6.62306871551015
"671","queue",671,-8.01035958891978
"672","quotes",672,-8.01035958891978
"673","qwerty",673,-8.01035958891978
"674","raid5",674,-8.01035958891978
"675","rake",675,-8.01035958891978
"676","ram",676,-8.01035958891978
"677","random",677,-8.01035958891978
"678","rational",678,-8.01035958891978
"679","rcp",679,-7.31688034792179
"680","rdoc",680,-8.01035958891978
"681","reading",681,-8.01035958891978
"682","real-time",682,-8.01035958891978
"683","rebuild",683,-8.01035958891978
"684","recommendation",684,-6.62306871551015
"685","recreational-programming",685,-8.01035958891978
"686","recurrence",686,-8.01035958891978
"687","recursion",687,-8.01035958891978
"688","redirect",688,-8.01035958891978
"689","redistributable",689,-8.01035958891978
"690","reduce",690,-8.01035958891978
"691","refactoring",691,-8.01035958891978
"692","reference",692,-8.01035958891978
"693","reflection",693,-7.31688034792179
"694","regex",694,-5.92859130528947
"695","registry",695,-6.91108306907481
"696","relate",696,-8.01035958891978
"697","release-management",697,-7.31688034792179
"698","releasing",698,-8.01035958891978
"699","remote",699,-7.31688034792179
"700","remoting",700,-8.01035958891978
"701","remove",701,-8.01035958891978
"702","reorganize",702,-8.01035958891978
"703","repair",703,-8.01035958891978
"704","replication",704,-6.91108306907481
"705","reporting-services",705,-8.01035958891978
"706","repository",706,-8.01035958891978
"707","resharper",707,-8.01035958891978
"708","resin",708,-8.01035958891978
"709","resources",709,-6.21693871376047
"710","rest",710,-6.91108306907481
"711","reverse-engineering",711,-8.01035958891978
"712","rgb",712,-8.01035958891978
"713","rhino-mocks",713,-8.01035958891978
"714","rockbox",714,-8.01035958891978
"715","routing",715,-8.01035958891978
"716","rsi",716,-7.31688034792179
"717","rss",717,-8.01035958891978
"718","rsync",718,-8.01035958891978
"719","ruby",719,-4.82464033193599
"720","ruby-on-rails",720,-5.70478197498928
"721","rubygems",721,-8.01035958891978
"722","rule-engine",722,-8.01035958891978
"723","safari",723,-6.91108306907481
"724","sandcastle",724,-8.01035958891978
"725","sap",725,-7.31688034792179
"726","scalability",726,-8.01035958891978
"727","scalar",727,-8.01035958891978
"728","scheduled-tasks",728,-8.01035958891978
"729","scheduling",729,-8.01035958891978
"730","schema",730,-8.01035958891978
"731","scheme",731,-8.01035958891978
"732","schools",732,-8.01035958891978
"733","screen-scraping",733,-8.01035958891978
"734","scripting",734,-6.06245542125761
"735","scsf",735,-8.01035958891978
"736","search",736,-6.62306871551015
"737","security",737,-5.44141821018871
"738","selenium",738,-8.01035958891978
"739","self-documenting-code",739,-8.01035958891978
"740","self-improvement",740,-6.21693871376047
"741","serial-port",741,-8.01035958891978
"742","serialization",742,-8.01035958891978
"743","server",743,-6.06245542125761
"744","server-configuration",744,-8.01035958891978
"745","server-side",745,-8.01035958891978
"746","service",746,-8.01035958891978
"747","servlets",747,-8.01035958891978
"748","session",748,-8.01035958891978
"749","setter",749,-7.31688034792179
"750","settings",750,-6.91108306907481
"751","setup",751,-6.91108306907481
"752","sftp",752,-8.01035958891978
"753","sgml",753,-8.01035958891978
"754","shader",754,-8.01035958891978
"755","sharepoint",755,-6.06245542125761
"756","shell",756,-6.21693871376047
"757","shockwave",757,-8.01035958891978
"758","shortcuts",758,-8.01035958891978
"759","signal-processing",759,-8.01035958891978
"760","silverlight",760,-6.91108306907481
"761","simulation",761,-8.01035958891978
"762","singleton",762,-6.91108306907481
"763","sitemap",763,-8.01035958891978
"764","size",764,-7.31688034792179
"765","skills",765,-8.01035958891978
"766","skins",766,-8.01035958891978
