UserId,Chunk,ChunkHash,ChunkCount,ChunkType
33,sql-server,1685,1,tag
33,timer,1688,1,tag
33,books,11209,1,tag
33,training,29573,1,tag
33,memory-management,41996,1,tag
34,.net,321,2,tag
34,css,215,1,tag
34,html,221,1,tag
34,database,609,1,tag
34,text,1989,1,tag
34,ruby,2322,1,tag
34,web-development,8713,1,tag
34,hosting,15027,1,tag
35,sql-server,1685,1,tag
35,full-text-search,18980,1,tag
36,c#,103,1,tag
36,image,9611,1,tag
36,artificial-intelligence,19736,1,tag
36,image-processing,29790,1,tag
37,php,1279,1,tag
37,plugins,1845,1,tag
37,architecture,1924,1,tag
39,c#,103,1,tag
39,.net,321,1,tag
39,performance,1271,1,tag
39,memory,1531,1,tag
39,com-interop,3327,1,tag
40,html,221,1,tag
40,php,1279,1,tag
40,form-submit,2131,1,tag
40,windows,3332,1,tag
40,shell,3361,1,tag
40,unit-testing,11368,1,tag
40,iis,11958,1,tag
40,terminal,22352,1,tag
40,command-line,26265,1,tag
41,c#,103,1,tag
41,user-interface,12367,1,tag
41,directx,74984,1,tag
42,setup,4424,1,tag
42,visual-studio,7566,1,tag
42,msbuild,16172,1,tag
42,build-automation,34409,1,tag
42,wix,56105,1,tag
42,vdproj,60548,1,tag
44,sql,1587,1,tag
44,sql-server,1685,1,tag
44,backup,26673,1,tag
45,c#,103,2,tag
45,css,215,1,tag
45,linq,416,1,tag
45,.net-3.5,594,1,tag
45,colors,5547,1,tag
45,templates,40215,1,tag
45,web-design,40216,1,tag
46,performance,1271,1,tag
46,algorithm,1272,1,tag
46,language-agnostic,1273,1,tag
46,oop,4147,1,tag
46,complexity,11648,1,tag
46,pass-by-reference,16878,1,tag
46,pass-by-value,16879,1,tag
46,parameters,24508,1,tag
46,optimization,33361,1,tag
46,big-o,52462,1,tag
48,mysql,598,1,tag
48,php,1279,1,tag
48,sql,1587,1,tag
48,sql-server,1685,1,tag
48,csv,3841,1,tag
48,bcp,4207,1,tag
48,development,6573,1,tag
48,tools,10978,1,tag
48,polls,11210,1,tag
49,email,6360,1,tag
49,email-spam,8871,1,tag
50,css,215,1,tag
50,html,221,1,tag
50,editor,3461,1,tag
50,frameworks,17384,1,tag
50,content-management-system,64927,1,tag
50,webcam,64933,1,tag
50,video-streaming,65002,1,tag
51,.net,321,2,tag
51,double,13,1,tag
51,convert,65,1,tag
51,c#,103,1,tag
51,database,609,1,tag
51,int,893,1,tag
51,asp.net,3754,1,tag
51,visual-studio,7566,1,tag
51,microsoft,8006,1,tag
51,computer,13689,1,tag
51,datacontext,30973,1,tag
51,linq-to-sql,31326,1,tag
51,windows-vista,62059,1,tag
51,windows-xp,68787,1,tag
51,operating-system,68789,1,tag
52,language-agnostic,1273,3,tag
52,svn,2584,1,tag
52,security,5035,1,tag
52,books,11209,1,tag
52,polls,11210,1,tag
52,productivity,13741,1,tag
52,cvs,21688,1,tag
52,legal,27772,1,tag
52,hacking,27773,1,tag
52,ethics,27774,1,tag
52,project-hosting,31973,1,tag
52,easter-eggs,77057,1,tag
55,unix,1274,1,tag
55,windows,3332,1,tag
55,statistics,27515,1,tag
55,process-management,65330,1,tag
56,c#,103,2,tag
56,.net,321,2,tag
56,javascript,10198,1,tag
56,cls,100049,1,tag
56,cls-compliant,100077,1,tag
56,unsigned-integer,100079,1,tag
58,php,1279,4,tag
58,svn,2584,4,tag
58,tortoisesvn,3217,3,tag
58,oop,4147,3,tag
58,mysql,598,2,tag
58,tools,10978,2,tag
58,css,215,1,tag
58,html,221,1,tag
58,database,609,1,tag
58,theory,686,1,tag
58,performance,1271,1,tag
58,sql,1587,1,tag
58,plugins,1845,1,tag
58,subclipse,2369,1,tag
58,aptana,2371,1,tag
58,website,2411,1,tag
58,eclipse,2419,1,tag
58,tutorials,3218,1,tag
58,windows,3332,1,tag
58,default,3771,1,tag
58,java,3846,1,tag
58,apache,4723,1,tag
58,security,5035,1,tag
58,interpreted,5623,1,tag
58,integration,7513,1,tag
58,web-development,8713,1,tag
58,build-process,8715,1,tag
58,code-review,9531,1,tag
58,design,10567,1,tag
58,variables,16830,1,tag
58,pass-by-reference,16878,1,tag
58,pass-by-value,16879,1,tag
58,xampp,23702,1,tag
58,server-configuration,23821,1,tag
58,parameters,24508,1,tag
58,methods,24509,1,tag
58,peer-review,26049,1,tag
58,communities,26050,1,tag
58,hacking,27773,1,tag
58,howto,37052,1,tag
58,diagram,38181,1,tag
58,database-design,38296,1,tag
58,cracking,47285,1,tag
58,hijacked,47286,1,tag
58,procedural,48715,1,tag
58,maintainability,48783,1,tag
58,fogbugz,51269,1,tag
58,internet-explorer,54716,1,tag
58,customization,99845,1,tag
58,foreign-keys,100548,1,tag
59,database,609,2,tag
59,php,1279,2,tag
59,language-agnostic,1273,1,tag
59,sql,1587,1,tag
59,xml,3772,1,tag
59,security,5035,1,tag
59,format,5571,1,tag
59,protocol-buffers,28281,1,tag
60,sql-server,1685,2,tag
60,migration,6175,1,tag
60,windows-server-2008,23482,1,tag
61,c++,1436,3,tag
61,c,19,2,tag
61,unix,1274,2,tag
61,linux,3021,2,tag
61,language-agnostic,1273,1,tag
61,memory,1531,1,tag
61,timer,1688,1,tag
61,types,2232,1,tag
61,gtk,6862,1,tag
61,x11,7178,1,tag
61,heap,19057,1,tag
61,stack,19566,1,tag
62,windows,3332,1,tag
62,mailto,6288,1,tag
63,c++,1436,1,tag
63,oop,4147,1,tag
65,language-agnostic,1273,3,tag
65,colors,5547,3,tag
65,algorithm,1272,2,tag
65,youtube,5229,1,tag
65,annotations,5380,1,tag
65,reverse-engineering,5382,1,tag
65,color-space,5548,1,tag
67,asp.net,3754,2,tag
67,c#,103,1,tag
67,ajax,17365,1,tag
67,viewstate,18475,1,tag
67,asp.net-ajax,35913,1,tag
71,.net,321,3,tag
71,database,609,2,tag
71,vb.net,93,1,tag
71,c#,103,1,tag
71,web-services,593,1,tag
71,sql,1587,1,tag
71,sql-server,1685,1,tag
71,ascii,3539,1,tag
71,hex,3753,1,tag
71,xsd,4412,1,tag
71,documentation,5822,1,tag
71,sqlite,6528,1,tag
71,software-engineering,25730,1,tag
71,statistics,27515,1,tag
71,logging,42755,1,tag
71,software-lifecycle,84131,1,tag
72,svn,2584,2,tag
72,mysql,598,1,tag
72,database,609,1,tag
72,php,1279,1,tag
72,windows,3332,1,tag
72,64bit,3335,1,tag
72,migration,6175,1,tag
72,lingo,27793,1,tag
72,shockwave,27886,1,tag
75,c,19,1,tag
75,string,492,1,tag
75,linux,3021,1,tag
75,shell,3361,1,tag
75,dash,17161,1,tag
75,bash,26510,1,tag
75,ksh,40665,1,tag
76,sql-server,1685,1,tag
76,tsql,61055,1,tag
77,c#,103,1,tag
77,windows,3332,1,tag
77,forms,6635,1,tag
77,data-binding,10560,1,tag
78,vb.net,93,1,tag
78,datatable,413,1,tag
78,asp.net,3754,1,tag
78,xml,3772,1,tag
78,csv,3841,1,tag
78,java,3846,1,tag
78,data-conversion,3888,1,tag
78,dataview,123310,1,tag
79,math,404,2,tag
79,system,1077,1,tag
79,maps,3756,1,tag
79,mapping,14657,1,tag
79,linear-algebra,15201,1,tag
79,linear-equation,15203,1,tag
79,latitude,30557,1,tag
79,longitude,30558,1,tag
81,vb.net,93,1,tag
81,c#,103,1,tag
81,file,2228,1,tag
81,csv,3841,1,tag
81,import,5946,1,tag
83,asp.net,3754,3,tag
83,vb.net,93,2,tag
83,.net,321,2,tag
83,svn,2584,2,tag
83,iphone,9304,2,tag
83,favicon,24968,2,tag
83,apple-touch-icon,24969,2,tag
83,html,221,1,tag
83,http,357,1,tag
83,database,609,1,tag
83,sql,1587,1,tag
83,sql-server,1685,1,tag
83,file,2228,1,tag
83,tortoisesvn,3217,1,tag
83,windows,3332,1,tag
83,membership,3815,1,tag
83,navigation,3837,1,tag
83,sitemap,3839,1,tag
83,versioning,4759,1,tag
83,version-control,4983,1,tag
83,pdf,5473,1,tag
83,session,8063,1,tag
83,filesystems,18882,1,tag
83,utilities,22993,1,tag
85,unix,1274,1,tag
85,linux,3021,1,tag
85,version-control,4983,1,tag
85,git,6494,1,tag
85,vi,18391,1,tag
86,firefox,160,1,tag
86,javascript,10198,1,tag
86,del.icio.us,70472,1,tag
86,delicious-api,70684,1,tag
87,time,290,1,tag
87,cron,9982,1,tag
87,settings,15524,1,tag
87,country,18686,1,tag
87,ip-address,18710,1,tag
87,lookup,18711,1,tag
91,.net,321,6,tag
91,c#,103,4,tag
91,windows,3332,3,tag
91,asp.net,3754,3,tag
91,sql-server,1685,2,tag
91,msbuild,16172,2,tag
91,vb.net,93,1,tag
91,query,417,1,tag
91,.net-3.5,594,1,tag
91,mysql,598,1,tag
91,database,609,1,tag
91,compiler,1202,1,tag
91,language-agnostic,1273,1,tag
91,php,1279,1,tag
91,svn,2584,1,tag
91,apache,4723,1,tag
91,media,4777,1,tag
91,embed,4903,1,tag
91,internationalization,5772,1,tag
91,globalization,5773,1,tag
91,scripting,6638,1,tag
91,deployment,6777,1,tag
91,visual-studio,7566,1,tag
91,discussion,7821,1,tag
91,release-management,11886,1,tag
91,iis,11958,1,tag
91,hardware,13740,1,tag
91,embedded-database,14244,1,tag
91,cruisecontrol.net,16170,1,tag
91,winhelp,19939,1,tag
91,chm,19965,1,tag
91,nant,20837,1,tag
91,virtualization,41389,1,tag
91,vmware,49940,1,tag
91,shader,111294,1,tag
92,python,7730,3,tag
92,teaching,49243,2,tag
92,c,19,1,tag
92,web,329,1,tag
92,binary,595,1,tag
92,language-agnostic,1273,1,tag
92,sql,1587,1,tag
92,sql-server,1685,1,tag
92,syntax,2935,1,tag
92,tutorials,3218,1,tag
92,schema,4646,1,tag
92,discussion,7821,1,tag
92,django,14662,1,tag
92,hosting,15027,1,tag
92,web-applications,21149,1,tag
92,literals,24762,1,tag
92,resources,27382,1,tag
92,concepts,28313,1,tag
92,ddl,77195,1,tag
93,wpf,4768,2,tag
93,silverlight,4844,2,tag
93,c#,103,1,tag
93,.net,321,1,tag
93,documentation,5822,1,tag
93,visual-studio,7566,1,tag
93,binding,10344,1,tag
93,xslt,16598,1,tag
93,sandcastle,16621,1,tag
93,xml-comments,16744,1,tag
93,polymorphism,25282,1,tag
93,dependency-properties,25283,1,tag
93,xaml,120280,1,tag
95,database,609,2,tag
95,sql-server,1685,2,tag
95,.net,321,1,tag
95,sql,1587,1,tag
95,ide,7526,1,tag
95,visual-studio,7566,1,tag
95,intellisense,9842,1,tag
96,c#,103,2,tag
96,printing,5050,2,tag
96,html,221,1,tag
96,.net,321,1,tag
96,web-services,593,1,tag
96,windows-services,126906,1,tag
100,.net,321,1,tag
100,version-control,4983,1,tag
100,colors,5547,1,tag
100,git,6494,1,tag
100,dvcs,6527,1,tag
100,rgb,41674,1,tag
100,hsl,45476,1,tag
100,t4,69459,1,tag
100,dsl,69464,1,tag
100,vsx,69496,1,tag
101,algorithm,1272,1,tag
101,language-agnostic,1273,1,tag
102,flex,1580,1,tag
102,flash,4678,1,tag
103,php,1279,2,tag
103,remote,2426,1,tag
103,syntax,2935,1,tag
103,forms,6635,1,tag
104,c++,1436,1,tag
104,berkeley-db,7299,1,tag
105,svn,2584,1,tag
105,collaboration,7408,1,tag
106,sql,1587,2,tag
106,vb.net,93,1,tag
106,database,609,1,tag
106,date,2670,1,tag
106,version-control,4983,1,tag
106,team,9353,1,tag
106,permissions,24352,1,tag
106,planning,39462,1,tag
106,work-hours,83258,1,tag
109,c#,103,1,tag
109,sorting,7665,1,tag
111,c#,103,3,tag
111,.net,321,2,tag
111,windows,3332,1,tag
111,asp.net,3754,1,tag
111,xml,3772,1,tag
111,forms,6635,1,tag
111,visual-studio,7566,1,tag
111,python,7730,1,tag
111,scheduled-tasks,10005,1,tag
111,javascript,10198,1,tag
111,unit-testing,11368,1,tag
115,string,492,1,tag
115,language-agnostic,1273,1,tag
115,php,1279,1,tag
115,generation,2604,1,tag
115,cross-platform,8603,1,tag
115,passwords,13230,1,tag
115,encryption,13302,1,tag
115,random,22833,1,tag
116,database,609,4,tag
116,sql,1587,4,tag
116,python,7730,4,tag
116,web,329,2,tag
116,oracle,12149,2,tag
116,cx-oracle,12163,2,tag
116,html,221,1,tag
116,http,357,1,tag
116,browser,369,1,tag
116,performance,1271,1,tag
116,security,5035,1,tag
116,mapping,14657,1,tag
116,gis,14658,1,tag
116,postgresql,15007,1,tag
116,multithreading,19669,1,tag
116,malloc,20322,1,tag
116,sql-injection,22007,1,tag
116,curl,42670,1,tag
116,screen-scraping,43110,1,tag
116,html-parsing,43111,1,tag
116,web-scraping,43112,1,tag
116,html-content-extraction,43113,1,tag
116,google-perftools,111578,1,tag
117,unix,1274,1,tag
117,php,1279,1,tag
117,linux,3021,1,tag
117,shell,3361,1,tag
117,oop,4147,1,tag
117,web-development,8713,1,tag
117,ant,8714,1,tag
117,build-process,8715,1,tag
117,phing,8716,1,tag
117,joeltest,8717,1,tag
117,fonts,10273,1,tag
117,unicode,16976,1,tag
117,bash,26510,1,tag
117,ergonomics,30619,1,tag
117,rsi,30620,1,tag
117,utf-8,89516,1,tag
118,vb.net,93,1,tag
118,.net,321,1,tag
118,vb6,9054,1,tag
118,vb6-migration,9303,1,tag
120,svn,2584,1,tag
120,cruisecontrol.net,16170,1,tag
120,msbuild,16172,1,tag
121,c#,103,2,tag
121,.net,321,2,tag
121,python,7730,1,tag
121,io,22291,1,tag
121,erlang,40670,1,tag
121,profiling,61250,1,tag
121,profiler,61251,1,tag
121,application-advice,61252,1,tag
122,java,3846,6,tag
122,exception,4581,2,tag
122,firefox,160,1,tag
122,j#,256,1,tag
122,timezone,371,1,tag
122,memory,1531,1,tag
122,null,1574,1,tag
122,svn,2584,1,tag
122,linux,3021,1,tag
122,generics,8961,1,tag
122,warnings,8962,1,tag
122,casting,8963,1,tag
122,type-safety,8964,1,tag
122,javascript,10198,1,tag
122,compiz,12583,1,tag
122,metacity,12588,1,tag
122,cpu,19220,1,tag
122,lisp,31588,1,tag
122,macros,31714,1,tag
122,merge,50203,1,tag
122,nullpointerexception,60863,1,tag
122,primitive,66289,1,tag
122,autoboxing,66349,1,tag
122,mocking,67101,1,tag
123,code-review,9531,2,tag
123,collaboration,7408,1,tag
123,hash,7602,1,tag
123,team,9353,1,tag
123,guidelines,9539,1,tag
123,whats-your-favourite,9597,1,tag
123,gravatar,9602,1,tag
123,exploit,9664,1,tag
123,windows-mobile,9896,1,tag
123,pocketpc,9897,1,tag
123,ie-mobile,9898,1,tag
124,mysql,598,1,tag
124,ruby,2322,1,tag
124,ruby-on-rails,10171,1,tag
131,mysql,598,1,tag
131,php,1279,1,tag
131,debugging,13217,1,tag
133,vb.net,93,2,tag
133,.net,321,1,tag
133,asp.net,3754,1,tag
133,convention,52289,1,tag
134,search,6329,1,tag
134,lucene,8965,1,tag
135,sql,1587,1,tag
135,sql-server,1685,1,tag
135,asp.net,3754,1,tag
135,asp.net-mvc,30926,1,tag
136,ruby,2322,3,tag
136,http,357,2,tag
136,ruby-on-rails,10171,2,tag
136,c,19,1,tag
136,web,329,1,tag
136,mysql,598,1,tag
136,language-agnostic,1273,1,tag
136,sql,1587,1,tag
136,architecture,1924,1,tag
136,editor,3461,1,tag
136,article,3826,1,tag
136,library,3853,1,tag
136,flash,4678,1,tag
136,web-development,8713,1,tag
136,iphone,9304,1,tag
136,osx,10245,1,tag
136,authentication,10986,1,tag
136,graph,20850,1,tag
136,data-structures,20980,1,tag
136,vim,24769,1,tag
136,emacs,24771,1,tag
136,forum,31948,1,tag
136,payment,39064,1,tag
137,php,1279,2,tag
137,svn,2584,2,tag
137,video,3830,2,tag
137,flash,4678,2,tag
137,osx,10245,2,tag
137,javascript,10198,1,tag
137,polls,11210,1,tag
137,frameworks,17384,1,tag
137,regex,21387,1,tag
137,ternary-operator,28757,1,tag
137,textwrangler,35925,1,tag
143,c#,103,2,tag
143,.net,321,2,tag
143,visual-studio,7566,1,tag
143,keyboard,13532,1,tag
143,hardware,13740,1,tag
143,productivity,13741,1,tag
143,peripherals,13742,1,tag
145,language-agnostic,1273,3,tag
145,user-interface,12367,2,tag
145,api,1434,1,tag
145,application,1672,1,tag
145,ruby,2322,1,tag
145,library,3853,1,tag
145,oop,4147,1,tag
145,python,7730,1,tag
145,primes,12443,1,tag
145,monkeypatching,18382,1,tag
145,simulation,29074,1,tag
145,development-environment,29540,1,tag
145,scheduling,29541,1,tag
145,organizing,29542,1,tag
147,python,7730,2,tag
147,windows,3332,1,tag
147,pdf,5473,1,tag
147,arrays,6280,1,tag
147,image,9611,1,tag
147,photoshop,10196,1,tag
147,javascript,10198,1,tag
147,osx,10245,1,tag
147,fonts,10273,1,tag
149,asp.net,3754,1,tag
149,version-control,4983,1,tag
149,dvcs,6527,1,tag
149,visual-studio,7566,1,tag
149,javascript,10198,1,tag
149,validation,11101,1,tag
149,resources,27382,1,tag
149,jobs,30202,1,tag
149,job-boards,81964,1,tag
150,web,329,1,tag
150,php,1279,1,tag
150,web-applications,21149,1,tag
151,ruby,2322,1,tag
151,crash,3410,1,tag
151,ruby-on-rails,10171,1,tag
152,language-agnostic,1273,1,tag
152,data-structures,20980,1,tag
154,python,7730,1,tag
154,tools,10978,1,tag
154,continuous-integration,10979,1,tag
154,extreme-programming,10980,1,tag
155,sockets,1511,1,tag
155,ruby,2322,1,tag
155,dns,21108,1,tag
155,nslookup,47810,1,tag
157,testing,763,1,tag
157,language-agnostic,1273,1,tag
157,unit-testing,11368,1,tag
159,rational,19325,1,tag
159,purify,19326,1,tag
159,memory-leaks,86567,1,tag
162,sql-server,1685,2,tag
162,ftp,7501,1,tag
163,firefox,160,1,tag
163,extension,2264,1,tag
163,javascript,10198,1,tag
163,dom,17362,1,tag
164,informix,89094,1,tag
164,spl,89095,1,tag
172,c#,103,1,tag
172,server,343,1,tag
172,php,1279,1,tag
172,windows,3332,1,tag
172,exchange,11891,1,tag
172,mapi,12142,1,tag
172,mouse,29545,1,tag
172,winapi,29674,1,tag
173,.net,321,1,tag
173,database,609,1,tag
173,ide,7526,1,tag
173,python,7730,1,tag
173,tools,10978,1,tag
173,code-completion,14084,1,tag
173,wing-ide,14085,1,tag
173,ado.net,41510,1,tag
177,linq,416,1,tag
177,performance,1271,1,tag
177,sql-server,1685,1,tag
177,linq-to-sql,31326,1,tag
179,c++,1436,1,tag
179,visual-studio,7566,1,tag
179,compatibility,12248,1,tag
179,windows-nt,12249,1,tag
184,challenge,643,1,tag
184,performance,1271,1,tag
184,numbers,12441,1,tag
184,puzzle,12442,1,tag
184,primes,12443,1,tag
186,data,596,1,tag
186,database,609,1,tag
186,algorithm,1272,1,tag
186,language-agnostic,1273,1,tag
186,sql-server,1685,1,tag
188,c,19,1,tag
188,malloc,20322,1,tag
189,web,329,1,tag
189,oop,4147,1,tag
189,python,7730,1,tag
189,django,14662,1,tag
189,views,14788,1,tag
191,database,609,2,tag
191,sql,1587,2,tag
191,inheritance,90760,1,tag
192,language-agnostic,1273,3,tag
192,asp.net,3754,3,tag
192,.net,321,2,tag
192,http,357,2,tag
192,code,39,1,tag
192,c#,103,1,tag
192,header,358,1,tag
192,string,492,1,tag
192,format,5571,1,tag
192,path,5817,1,tag
192,authentication,10986,1,tag
192,iis,11958,1,tag
192,active-directory,13228,1,tag
192,title-case,14808,1,tag
192,reflection,14858,1,tag
192,ajax,17365,1,tag
192,queue,22012,1,tag
192,collections,22082,1,tag
192,webcontrols,33866,1,tag
192,webserver,35311,1,tag
192,mappath,51228,1,tag
192,etag,70262,1,tag
193,asp-classic,15514,2,tag
193,vbscript,35245,2,tag
193,html,221,1,tag
193,web,329,1,tag
193,asp.net,3754,1,tag
193,arrays,6280,1,tag
193,checkbox,10030,1,tag
193,mvc,30807,1,tag
193,asp.net-mvc,30926,1,tag
193,linq-to-sql,31326,1,tag
194,c#,103,3,tag
194,asp.net,3754,2,tag
194,.net,321,1,tag
194,server,343,1,tag
194,c++,1436,1,tag
194,sockets,1511,1,tag
194,svn,2584,1,tag
194,version-control,4983,1,tag
194,windows-mobile,9896,1,tag
194,hosting,15027,1,tag
194,jobs,30202,1,tag
194,mvc,30807,1,tag
194,asp.net-mvc,30926,1,tag
194,graphics,37149,1,tag
194,events,75837,1,tag
194,career-development,96909,1,tag
194,compact-framework,109789,1,tag
195,c#,103,2,tag
195,documentation,5822,1,tag
195,data-binding,10560,1,tag
195,conventions,52337,1,tag
198,language,621,1,tag
198,theory,686,1,tag
198,java,3846,1,tag
198,build-process,8715,1,tag
198,turing-machines,116566,1,tag
198,turing-complete,116567,1,tag
199,linux,3021,1,tag
199,arrays,6280,1,tag
199,gtk,6862,1,tag
199,python,7730,1,tag
199,open-source,10967,1,tag
199,user-interface,12367,1,tag
199,iteration,13531,1,tag
199,ssh,26252,1,tag
200,language-agnostic,1273,1,tag
200,internationalization,5772,1,tag
200,unicode,16976,1,tag
200,localization,17100,1,tag
200,vague,17102,1,tag
202,c#,103,1,tag
202,csv,3841,1,tag
203,svn,2584,1,tag
203,git,6494,1,tag
203,conferences,18073,1,tag
204,database,609,1,tag
204,php,1279,1,tag
204,sql-server,1685,1,tag
204,svn,2584,1,tag
204,linux,3021,1,tag
204,tutorials,3218,1,tag
204,windows,3332,1,tag
204,software,3421,1,tag
204,xml,3772,1,tag
204,version-control,4983,1,tag
204,scripting,6638,1,tag
204,ide,7526,1,tag
204,db2,13807,1,tag
204,odbc,13967,1,tag
204,ibm-midrange,13969,1,tag
204,windows-server-2003,17338,1,tag
204,vim,24769,1,tag
204,text-editor,39194,1,tag
205,asp.net,3754,2,tag
205,.net,321,1,tag
205,configuration,1113,1,tag
205,xml,3772,1,tag
205,mapping,14657,1,tag
205,gis,14658,1,tag
205,asp-classic,15514,1,tag
205,innerxml,59192,1,tag
205,xelement,59195,1,tag
206,c#,103,1,tag
206,.net,321,1,tag
206,data-structures,20980,1,tag
206,marshalling,43458,1,tag
207,python,7730,2,tag
207,iteration,13531,1,tag
207,unicode,16976,1,tag
209,c,19,1,tag
209,c++,1436,1,tag
209,game-development,65744,1,tag
209,devkitpro,114578,1,tag
214,.net,321,2,tag
214,date,2670,1,tag
214,library,3853,1,tag
214,free,5043,1,tag
214,internationalization,5772,1,tag
214,globalization,5773,1,tag
214,ocr,19740,1,tag
219,perl,39930,2,tag
219,html,221,1,tag
219,xml,3772,1,tag
219,reference,4594,1,tag
219,each,5253,1,tag
219,arrays,6280,1,tag
219,hash,7602,1,tag
219,iteration,13531,1,tag
219,scalar,49720,1,tag
219,comments,80795,1,tag
219,sgml,85581,1,tag
222,c++,1436,1,tag
222,cpu,19220,1,tag
222,throttle,23867,1,tag
224,c#,103,1,tag
224,linq,416,1,tag
224,visual-studio,7566,1,tag
224,microsoft,8006,1,tag
224,tools,10978,1,tag
224,msdn,28828,1,tag
225,vb.net,93,1,tag
225,asp.net,3754,1,tag
225,design,10567,1,tag
225,user-interface,12367,1,tag
227,indexing-service,45601,2,tag
227,cisvc,45603,2,tag
227,.net,321,1,tag
227,internationalization,5772,1,tag
227,search,6329,1,tag
227,email,6360,1,tag
227,tools,10978,1,tag
227,mapi,12142,1,tag
227,ocr,19740,1,tag
227,modi,29762,1,tag
227,freeware,33271,1,tag
227,icons,33344,1,tag
227,turkish,45499,1,tag
227,dep,45768,1,tag
