LeftChunk,LeftChunkHash,RightChunk,RightChunkHash,ChunkCount
a,3,linq,119,7
a,3,web-services,125,6
a,3,.net-3.5,126,6
a,3,mysql,130,12
a,3,database,132,29
a,3,performance,140,3
a,3,algorithm,141,2
a,3,language-agnostic,142,16
a,3,unix,143,5
a,3,php,148,13
a,3,c++,168,7
a,3,flex,183,4
a,3,actionscript-3,184,3
a,3,sql,190,12
a,3,sql-server,193,24
a,3,timer,196,2
a,3,console,199,1
a,3,application,200,4
a,3,vb.net,203,9
a,3,plugins,209,1
a,3,architecture,215,2
a,3,button,219,4
a,3,form-submit,225,1
a,3,file,247,3
a,3,ruby,277,6
a,3,eclipse,297,3
a,3,svn,298,4
a,3,adobe,301,1
a,3,linux,337,6
a,3,tortoisesvn,348,2
a,3,tutorials,349,4
a,3,memory,354,2
a,3,com-interop,361,1
a,3,windows,366,11
a,3,64bit,369,1
a,3,asp.net,386,17
a,3,maps,388,2
a,3,csv,395,3
a,3,java,400,14
a,3,oop,419,3
a,3,server,427,4
a,3,apache,454,1
a,3,version-control,496,4
a,3,printing,512,2
a,3,pdf,535,3
a,3,parsing,555,1
a,3,internationalization,568,1
a,3,globalization,569,1
a,3,cloud,585,1
a,3,arrays,599,2
a,3,tag-cloud,601,1
a,3,git,628,1
a,3,dvcs,630,1
a,3,sqlite,631,2
a,3,remote,642,1
a,3,forms,648,2
a,3,scripting,651,5
a,3,compiler,659,2
a,3,gtk,660,2
a,3,visual-studio,698,7
a,3,sorting,712,2
a,3,discussion,719,2
a,3,system,725,1
a,3,security,742,4
a,3,python,772,18
a,3,string,783,2
a,3,cross-platform,786,2
a,3,generation,787,1
a,3,web-development,800,3
a,3,ant,801,2
a,3,build-process,802,2
a,3,email,810,3
a,3,email-spam,822,1
a,3,generics,839,2
a,3,type-safety,842,2
a,3,vb6,856,3
a,3,vb6-migration,864,1
a,3,hash,895,2
a,3,com,902,1
a,3,ide,908,1
a,3,ruby-on-rails,941,4
a,3,http,943,3
a,3,osx,963,8
a,3,fonts,964,2
a,3,photoshop,965,2
a,3,winforms,973,8
a,3,layout,986,2
a,3,design,987,2
a,3,image,1009,2
a,3,tools,1029,4
a,3,continuous-integration,1030,1
a,3,extreme-programming,1031,1
a,3,authentication,1037,1
a,3,software,1051,1
a,3,books,1055,7
a,3,polls,1056,2
a,3,unit-testing,1064,4
a,3,testing,1066,3
a,3,deployment,1104,2
a,3,oracle,1125,1
a,3,cx-oracle,1133,1
a,3,user-interface,1170,11
a,3,library,1173,2
a,3,iis,1235,3
a,3,encryption,1246,1
a,3,open-source,1261,1
a,3,iteration,1284,1
a,3,hardware,1289,2
a,3,productivity,1290,4
a,3,embedded-database,1329,1
a,3,mapping,1366,2
a,3,gis,1367,1
a,3,reflection,1399,2
a,3,postgresql,1413,1
a,3,linear-algebra,1419,1
a,3,linear-equation,1421,1
a,3,asp-classic,1448,1
a,3,registry,1457,1
a,3,javascript,1520,9
a,3,xslt,1538,2
a,3,reference,1558,1
a,3,text,1603,1
a,3,frameworks,1626,3
a,3,connection,1657,2
a,3,exception,1667,2
a,3,monkeypatching,1700,1
a,3,vi,1709,1
a,3,flash,1756,3
a,3,content,1757,2
a,3,macromedia,1768,1
a,3,filesystems,1786,2
a,3,indexing,1793,1
a,3,floating-point,1821,1
a,3,fun,1822,1
a,3,multithreading,1834,1
a,3,malloc,1889,1
a,3,data-structures,1934,4
a,3,projects,1940,1
a,3,subdomain,1946,1
a,3,account,1948,1
a,3,dns,1952,1
a,3,web-applications,1953,4
a,3,safari,1961,2
a,3,hyperlink,1969,2
a,3,powerpoint,1980,2
a,3,regex,1985,4
a,3,cvs,2021,1
a,3,io,2091,1
a,3,default,2152,1
a,3,utilities,2157,1
a,3,parallel-processing,2207,1
a,3,windows-server-2008,2224,3
a,3,custom,2227,1
a,3,parameters,2297,1
a,3,methods,2298,1
a,3,ajax,2305,1
a,3,rest,2313,1
a,3,wpf,2390,1
a,3,bash,2475,5
a,3,shell,2477,2
a,3,projects-and-solutions,2560,1
a,3,resources,2576,1
a,3,legal,2611,1
a,3,hacking,2612,1
a,3,ethics,2613,1
a,3,application-integration,2634,1
a,3,concepts,2664,1
a,3,simulation,2730,1
a,3,winapi,2776,4
a,3,quotes,2809,1
a,3,anchor,2825,1
a,3,latitude,2846,1
a,3,longitude,2847,1
a,3,ergonomics,2856,1
a,3,mvc,2879,5
a,3,asp.net-mvc,2886,4
a,3,each,2970,1
a,3,convert,3009,2
a,3,project-hosting,3025,1
a,3,training,3036,1
a,3,dll,3074,1
a,3,delphi,3080,1
a,3,tdd,3092,1
a,3,rss,3096,1
a,3,coldfusion,3143,1
a,3,code-coverage,3144,1
a,3,checkbox,3167,2
a,3,freeware,3194,1
a,3,icons,3199,2
a,3,master-pages,3294,2
a,3,build-automation,3332,1
a,3,cairngorm,3333,1
a,3,resharper,3354,1
a,3,vbscript,3447,1
a,3,ftp,3466,1
a,3,controls,3573,2
a,3,howto,3594,1
a,3,grid,3891,1
a,3,excel,3894,1
a,3,clipboard,3895,1
a,3,server-side,3958,1
a,3,erlang,4098,1
a,3,recommendation,4156,1
a,3,xen,4166,1
a,3,ubuntu,4175,3
a,3,virtualization,4176,1
a,3,remove,4184,1
a,3,date-conversion,4198,1
a,3,mono,4244,1
a,3,picturebox,4276,1
a,3,curl,4315,1
a,3,marshalling,4382,2
a,3,jxta,4484,1
a,3,desktop,4539,2
a,3,dynamic-data,4639,1
a,3,perl,4690,2
a,3,sharepoint,4796,3
a,3,teaching,4814,1
a,3,scalar,4840,1
a,3,extension,4900,3
a,3,mod-rewrite,4929,1
a,3,fogbugz,4979,1
a,3,midi,5034,1
a,3,signal-processing,5045,1
a,3,interview-questions,5072,1
a,3,ienumerator,5154,2
a,3,foreach,5163,2
a,3,ienumerable,5168,2
a,3,vpn,5204,1
a,3,ssl,5282,1
a,3,http-referer,5330,1
a,3,rake,5369,1
a,3,cli,5378,1
a,3,installer,5392,1
a,3,clickonce,5393,1
a,3,upload,5479,1
a,3,teamwork,5535,1
a,3,workflow,5563,3
a,3,stsadm,5629,1
a,3,jobs,5638,2
a,3,impersonation,5640,1
a,3,privileges,5641,1
a,3,propertygrid,5685,2
a,3,prototyping,5701,2
a,3,wmi,5712,1
a,3,dom,5861,4
a,3,firefox,5865,6
a,3,nullpointerexception,5874,1
a,3,null,5877,1
a,3,serial-port,5966,1
a,3,smb,6004,2
a,3,windows-vista,6010,2
a,3,ear,6077,2
a,3,websphere,6081,4
a,3,java-ee,6084,2
a,3,file-io,6217,1
a,3,content-management-system,6245,1
a,3,webcam,6251,1
a,3,video-streaming,6252,1
a,3,ado.net,6263,3
a,3,tfs,6291,2
a,3,primitive,6364,1
a,3,autoboxing,6368,1
a,3,mocking,6442,2
a,3,wcf,6469,1
a,3,qt,6490,1
a,3,mfc,6491,1
a,3,dynamic-sql,6567,1
a,3,proxy,6590,1
a,3,ironruby,6596,1
a,3,rubygems,6597,1
a,3,breaks,6715,1
a,3,mental-health,6716,1
a,3,xming,6747,1
a,3,hacks,6788,1
a,3,logging,6789,1
a,3,delicious-api,6805,1
a,3,del.icio.us,6806,1
a,3,podcast,6847,1
a,3,mercurial,6866,1
a,3,namespaces,6957,1
a,3,singleton,6984,2
a,3,design-patterns,6991,1
a,3,cluster-analysis,7109,2
a,3,x86,7164,1
a,3,assembly,7165,1
a,3,confirm,7207,1
a,3,enums,7316,1
a,3,easter-eggs,7355,1
a,3,height,7382,1
a,3,beta,7392,1
a,3,laptop,7440,2
a,3,matlab,7642,1
a,3,firebird,7649,1
a,3,asmx,7704,1
a,3,standards,7743,2
a,3,reporting-services,7848,1
a,3,lifecycle,7893,2
a,3,msf,7928,2
a,3,cmmi,7930,2
a,3,e-commerce,7978,1
a,3,leader,8026,1
a,3,project-planning,8028,1
a,3,community-server,8045,3
a,3,xcode,8291,1
a,3,wiki,8343,1
a,3,home-server,8435,3
a,3,diy,8436,3
a,3,graphing,8489,1
a,3,ms-access,8574,3
a,3,rcp,8589,2
a,3,client-scripting,8724,1
a,3,uuid,8769,1
a,3,startups,8858,1
a,3,gltail,8884,1
a,3,versions,8930,1
a,3,processes,8983,1
a,3,haml,9153,1
a,3,sybase,9217,2
a,3,ase,9218,2
a,3,covariance,9454,2
a,3,aop,9661,1
a,3,string.format,9779,2
a,3,stringbuilder,9783,2
a,3,construction,9989,1
a,3,lazy-initialization,9990,1
a,3,non-technical,10058,2
a,3,parents,10068,2
a,3,family,10069,2
a,3,relate,10070,2
a,3,xna,10103,1
a,3,skins,10105,1
a,3,entrepreneurship,10289,1
a,3,filenames,10302,1
a,3,releasing,10331,1
a,3,extension-methods,10431,1
a,3,flags,10501,1
a,3,buffer-overflow,10647,1
a,3,stress-testing,10762,1
a,3,performance-monitoring,10763,1
a,3,symlink,11079,1
a,3,mergesort,11112,1
a,3,contracting,11127,1
a,3,myeclipse,11287,2
a,3,windows-services,11514,1
a,3,rsync,11530,1
a,3,crc32,11647,1
a,3,instrumentation,11762,1
form,4,c#,15,2
form,4,html,31,2
form,4,.net,73,2
form,4,web,81,1
form,4,php,148,1
form,4,vb.net,203,1
form,4,form-submit,225,1
form,4,asp.net,386,2
form,4,remote,642,1
form,4,forms,648,1
form,4,security,742,2
form,4,web-development,800,1
form,4,vb6,856,1
form,4,osx,963,1
form,4,winforms,973,2
form,4,debugging,1572,1
form,4,multithreading,1834,1
form,4,ajax,2305,1
form,4,controls,3573,1
form,4,howto,3594,1
form,4,autocomplete,3804,1
form,4,captcha,4669,1
form,4,usability,4676,1
form,4,internet-explorer,5254,1
form,4,ssl,5282,1
form,4,upload,5479,1
form,4,propertygrid,5685,1
form,4,firefox,5865,1
form,4,events,7240,1
form,4,internet-explorer-6,8247,1
form,4,code-reuse,9976,1
's,5,c#,15,5
's,5,html,31,2
's,5,css,32,1
's,5,datetime,64,2
's,5,time,70,1
's,5,.net,73,4
's,5,web,81,1
's,5,browser,88,1
's,5,timezone,90,1
's,5,math,107,1
's,5,mysql,130,1
's,5,database,132,4
's,5,language-agnostic,142,2
's,5,php,148,1
's,5,sql,190,4
's,5,sql-server,193,3
's,5,vb.net,203,1
's,5,plugins,209,1
's,5,eclipse,297,1
's,5,linux,337,1
's,5,windows,366,1
's,5,asp.net,386,1
's,5,java,400,1
's,5,version-control,496,1
's,5,cloud,585,1
's,5,arrays,599,1
's,5,tag-cloud,601,1
's,5,dvcs,630,1
's,5,sqlite,631,1
's,5,environment,678,1
's,5,visual-studio,698,2
's,5,discussion,719,1
's,5,python,772,2
's,5,coding,883,1
's,5,hash,895,1
's,5,ide,908,1
's,5,books,1055,1
's,5,testing,1066,1
's,5,user-interface,1170,1
's,5,iteration,1284,2
's,5,hardware,1289,1
's,5,settings,1458,1
's,5,javascript,1520,1
's,5,web-applications,1953,1
's,5,development,2414,1
's,5,bash,2475,1
's,5,profile,2590,1
's,5,simulation,2730,1
's,5,each,2970,1
's,5,convert,3009,1
's,5,tdd,3092,1
's,5,monitor,3093,1
's,5,bdd,3312,1
's,5,payment,3880,1
's,5,date-conversion,4198,1
's,5,mono,4244,1
's,5,perl,4690,1
's,5,developerexpress,5519,1
's,5,configuration,5651,1
's,5,intellisense,6733,1
's,5,design-patterns,6991,1
's,5,height,7382,1
's,5,firebird,7649,2
's,5,interbase,7659,2
's,5,community-server,8045,1
's,5,rcp,8589,1
's,5,uuid,8769,1
's,5,improvement,8807,1
's,5,career-development,8890,2
's,5,multiple-monitors,9108,1
's,5,cls,9146,1
's,5,cls-compliant,9150,1
's,5,unsigned-integer,9152,1
's,5,usersgroup,10249,1
's,5,myeclipse,11287,1
opacity,6,c#,15,1
should,7,c#,15,3
should,7,c,46,2
should,7,.net,73,3
should,7,database,132,1
should,7,language-agnostic,142,1
should,7,unix,143,1
should,7,c++,168,1
should,7,sql,190,2
should,7,sql-server,193,1
should,7,ruby,277,1
should,7,linux,337,1
should,7,asp.net,386,1
should,7,java,400,1
should,7,oop,419,1
should,7,implementation,615,1
should,7,discussion,719,1
should,7,security,742,1
should,7,python,772,1
should,7,team,877,1
should,7,winforms,973,2
should,7,website,1036,1
should,7,authentication,1037,1
should,7,software,1051,1
should,7,books,1055,2
should,7,testing,1066,2
should,7,user-interface,1170,1
should,7,open-source,1261,1
should,7,management,1264,1
should,7,embedded,1317,2
should,7,regex,1985,1
should,7,validation,2229,1
should,7,permissions,2286,1
should,7,bash,2475,1
should,7,shell,2477,1
should,7,schema,2517,1
should,7,resources,2576,1
should,7,reading,2649,1
should,7,linq-to-sql,2911,1
should,7,tdd,3092,2
should,7,howto,3594,1
should,7,planning,3935,1
should,7,recommendation,4156,2
should,7,picturebox,4276,1
should,7,cracking,4568,1
should,7,hijacked,4569,1
should,7,computer-science,4603,1
should,7,recursion,4655,1
should,7,logging,6789,1
should,7,openid,6942,1
should,7,namespaces,6957,1
should,7,beta,7392,1
should,7,ddl,7400,1
should,7,startups,8858,1
should,7,versions,8930,1
should,7,icalendar,9253,1
should,7,outlook,9258,1
should,7,gmail,9259,1
should,7,ical,9261,1
should,7,recurrence,9262,1
should,7,rule-engine,9545,1
should,7,decisions,10194,1
should,7,entrepreneurship,10289,1
should,7,releasing,10331,1
i,8,c#,15,15
i,8,html,31,4
i,8,css,32,1
i,8,c,46,3
i,8,datetime,64,2
i,8,time,70,1
i,8,.net,73,12
i,8,timespan,75,1
i,8,web,81,3
i,8,browser,88,2
i,8,timezone,90,1
i,8,linq,119,3
i,8,query,120,1
i,8,web-services,125,3
i,8,.net-3.5,126,3
i,8,mysql,130,5
i,8,database,132,5
i,8,language-agnostic,142,2
i,8,unix,143,3
i,8,php,148,4
i,8,c++,168,4
i,8,flex,183,2
i,8,actionscript-3,184,1
i,8,sql,190,6
i,8,sql-server,193,7
i,8,plugins,209,1
i,8,architecture,215,1
i,8,file,247,1
i,8,rdoc,275,1
i,8,ruby,277,10
i,8,eclipse,297,2
i,8,svn,298,3
i,8,air,302,1
i,8,linux,337,1
i,8,tutorials,349,1
i,8,windows,366,4
i,8,asp.net,386,8
i,8,xml,398,1
i,8,java,400,11
i,8,oop,419,1
i,8,apache,454,2
i,8,versioning,472,1
i,8,version-control,496,2
i,8,printing,512,1
i,8,pdf,535,1
i,8,arrays,599,1
i,8,implementation,615,1
i,8,remote,642,1
i,8,forms,648,2
i,8,visual-studio,698,5
i,8,discussion,719,1
i,8,session,741,1
i,8,security,742,2
i,8,python,772,6
i,8,cross-platform,786,1
i,8,web-development,800,1
i,8,email,810,1
i,8,vb6,856,1
i,8,iphone,865,1
i,8,ide,908,2
i,8,ruby-on-rails,941,3
i,8,http,943,2
i,8,osx,963,5
i,8,fonts,964,1
i,8,photoshop,965,1
i,8,winforms,973,3
i,8,website,1036,1
i,8,authentication,1037,3
i,8,unit-testing,1064,2
i,8,testing,1066,3
i,8,oracle,1125,2
i,8,cx-oracle,1133,1
i,8,user-interface,1170,1
i,8,unique,1217,1
i,8,encryption,1246,2
i,8,open-source,1261,1
i,8,iteration,1284,1
i,8,hardware,1289,2
i,8,code-completion,1315,1
i,8,embedded,1317,2
i,8,asp-classic,1448,1
i,8,javascript,1520,5
i,8,connection,1657,1
i,8,exception,1667,2
i,8,content,1757,1
i,8,filesystems,1786,1
i,8,indexing,1793,1
i,8,multithreading,1834,1
i,8,malloc,1889,1
i,8,dns,1952,1
i,8,hyperlink,1969,1
i,8,powerpoint,1980,1
i,8,regex,1985,1
i,8,curses,2105,1
i,8,permissions,2286,1
i,8,favicon,2372,1
i,8,apple-touch-icon,2373,1
i,8,ssh,2452,1
i,8,schema,2517,1
i,8,xfdl,2548,1
i,8,statistics,2585,1
i,8,quotes,2809,1
i,8,anchor,2825,1
i,8,mvc,2879,1
i,8,asp.net-mvc,2886,1
i,8,linq-to-sql,2911,1
i,8,tdd,3092,3
i,8,monitor,3093,2
i,8,checkbox,3167,1
i,8,master-pages,3294,1
i,8,build-automation,3332,1
i,8,cairngorm,3333,1
i,8,vbscript,3447,1
i,8,textwrangler,3489,1
i,8,howto,3594,1
i,8,diagram,3738,1
i,8,group-by,4015,1
i,8,recommendation,4156,1
i,8,mono,4244,1
i,8,picturebox,4276,1
i,8,cracking,4568,1
i,8,hijacked,4569,1
i,8,computer-science,4603,1
i,8,recursion,4655,1
i,8,perl,4690,1
i,8,sharepoint,4796,1
i,8,extension,4900,1
i,8,redirect,4924,1
i,8,fogbugz,4979,1
i,8,caching,5015,1
i,8,interview-questions,5072,1
i,8,language-design,5139,1
i,8,ienumerator,5154,1
i,8,foreach,5163,1
i,8,ienumerable,5168,1
i,8,ssl,5282,1
i,8,rake,5369,1
i,8,cli,5378,1
i,8,workflow,5563,1
i,8,ram,5587,1
i,8,replication,5736,1
i,8,dual,5747,1
i,8,union,5816,1
i,8,dom,5861,1
i,8,firefox,5865,1
i,8,smb,6004,1
i,8,windows-vista,6010,1
i,8,file-io,6217,1
i,8,tfs,6291,1
i,8,primitive,6364,1
i,8,autoboxing,6368,1
i,8,mocking,6442,2
i,8,proxy,6590,1
i,8,ironruby,6596,1
i,8,rubygems,6597,1
i,8,logging,6789,1
i,8,compression,6834,1
i,8,webstart,6904,1
i,8,jni,6913,1
i,8,nativelibrary,6915,1
i,8,openid,6942,2
i,8,singleton,6984,1
i,8,design-patterns,6991,1
i,8,zend-studio,7161,1
i,8,events,7240,1
i,8,ddl,7400,1
i,8,culture,7523,1
i,8,programmers,7524,1
i,8,reporting-services,7848,1
i,8,wiki,8343,1
i,8,rcp,8589,1
i,8,dnsmasq,8653,1
i,8,multiple-monitors,9108,1
i,8,haml,9153,1
i,8,rule-engine,9545,1
i,8,aop,9661,1
i,8,gzip,9823,1
i,8,base64,9824,1
i,8,code-reuse,9976,1
i,8,non-technical,10058,2
i,8,parents,10068,2
i,8,family,10069,2
i,8,relate,10070,2
i,8,decisions,10194,1
i,8,applet,10552,2
i,8,swing,10563,2
i,8,ws-security,10951,1
i,8,workstations,10988,1
i,8,duplicates,11012,1
i,8,msdtc,11136,1
i,8,myeclipse,11287,1
i,8,crc32,11647,1
use,9,c#,15,5
use,9,c,46,2
use,9,.net,73,3
use,9,web,81,1
use,9,browser,88,1
use,9,database,132,4
use,9,language-agnostic,142,2
use,9,unix,143,2
use,9,c++,168,2
use,9,sockets,173,1
use,9,mainframe,174,1
use,9,zos,175,1
use,9,sql,190,4
use,9,sql-server,193,3
use,9,vb.net,203,2
use,9,architecture,215,1
use,9,file,247,1
use,9,types,251,1
use,9,ruby,277,3
use,9,svn,298,1
use,9,linux,337,1
use,9,memory,354,1
use,9,java,400,4
use,9,oop,419,1
use,9,implementation,615,1
use,9,visual-studio,698,1
use,9,python,772,2
use,9,email,810,1
use,9,vb6,856,1
use,9,team,877,1
use,9,design,987,1
use,9,tools,1029,1
use,9,authentication,1037,1
use,9,polls,1056,1
use,9,unit-testing,1064,1
use,9,compatibility,1165,1
use,9,user-interface,1170,1
use,9,iteration,1284,1
use,9,embedded,1317,2
use,9,postgresql,1413,1
use,9,sftp,1447,1
use,9,asp-classic,1448,1
use,9,cruisecontrol.net,1496,1
use,9,msbuild,1498,1
use,9,javascript,1520,3
use,9,documentation,1536,1
use,9,xslt,1538,1
use,9,exception,1667,1
use,9,account,1948,1
use,9,web-applications,1953,1
use,9,curses,2105,1
use,9,bash,2475,1
use,9,shell,2477,1
use,9,linq-to-sql,2911,1
use,9,monitor,3093,1
use,9,code-coverage,3144,1
use,9,howto,3594,1
use,9,graphics,3606,1
use,9,diagram,3738,1
use,9,planning,3935,1
use,9,group-by,4015,1
use,9,memory-management,4237,1
use,9,computer-science,4603,1
use,9,recursion,4655,1
use,9,conventions,5084,1
use,9,ienumerator,5154,1
use,9,foreach,5163,1
use,9,ienumerable,5168,1
use,9,dual,5747,1
use,9,static-analysis,6151,1
use,9,file-io,6217,1
use,9,messaging,6346,1
use,9,activemq,6352,1
use,9,mocking,6442,1
use,9,intellisense,6733,1
use,9,openid,6942,1
use,9,design-patterns,6991,1
use,9,hungarian-notation,8020,1
use,9,self-documenting-code,8021,1
use,9,n-tier,8674,1
use,9,multiple-monitors,9108,1
use,9,rule-engine,9545,1
use,9,decisions,10194,1
use,9,selenium,10726,1
decimal,11,c#,15,1
decimal,11,sql-server,193,1
decimal,11,tsql,5893,1
or,12,c#,15,2
or,12,css,32,1
or,12,web,81,3
or,12,browser,88,1
or,12,linq,119,1
or,12,web-services,125,2
or,12,.net-3.5,126,1
or,12,data,128,1
or,12,database,132,2
or,12,algorithm,141,1
or,12,language-agnostic,142,3
or,12,php,148,2
or,12,c++,168,1
or,12,flex,183,1
or,12,plugins,209,1
or,12,eclipse,297,1
or,12,linux,337,1
or,12,tutorials,349,2
or,12,asp.net,386,1
or,12,xml,398,1
or,12,java,400,2
or,12,oop,419,1
or,12,theory,420,1
or,12,arrays,599,1
or,12,visual-studio,698,2
or,12,python,772,1
or,12,ide,908,1
or,12,http,943,1
or,12,osx,963,1
or,12,fonts,964,1
or,12,design,987,1
or,12,image,1009,1
or,12,software,1051,1
or,12,books,1055,3
or,12,unit-testing,1064,1
or,12,compatibility,1165,1
or,12,keyboard,1285,1
or,12,javascript,1520,1
or,12,variables,1552,1
or,12,reference,1558,1
or,12,pass-by-reference,1562,2
or,12,pass-by-value,1563,2
or,12,unicode,1578,1
or,12,frameworks,1626,1
or,12,exception,1667,1
or,12,graph,1927,1
or,12,data-structures,1934,1
or,12,parameters,2297,1
or,12,rest,2313,1
or,12,projects-and-solutions,2560,1
or,12,winapi,2776,1
or,12,mvc,2879,1
or,12,asp.net-mvc,2886,1
or,12,optimization,3210,1
or,12,build-automation,3332,1
or,12,cairngorm,3333,1
or,12,verification,4105,1
or,12,setter,4114,1
or,12,getter,4115,1
or,12,microsoft,4149,1
or,12,virtualization,4176,1
or,12,curl,4315,1
or,12,desktop,4539,2
or,12,tree,4597,1
or,12,computer-science,4603,1
or,12,perl,4690,1
or,12,teaching,4814,1
or,12,scalar,4840,1
or,12,vmware,4869,1
or,12,caching,5015,1
or,12,internet-explorer,5254,1
or,12,storage,5666,1
or,12,blob,5667,1
or,12,nullpointerexception,5874,1
or,12,null,5877,1
or,12,serial-port,5966,1
or,12,windows-vista,6010,1
or,12,content-management-system,6245,1
or,12,windows-xp,6621,1
or,12,operating-system,6623,1
or,12,computer,6624,1
or,12,events,7240,1
or,12,beta,7392,1
or,12,laptop,7440,2
or,12,internet-explorer-6,8247,1
or,12,schools,8312,1
or,12,utf-8,8363,1
or,12,versions,8930,1
or,12,releasing,10331,1
double,13,c#,15,1
double,13,c,46,1
double,13,malloc,1889,1
?,14,c#,15,48
?,14,html,31,13
?,14,css,32,11
?,14,internet-explorer-7,33,1
?,14,conversion,37,1
?,14,c,46,7
?,14,j#,51,2
?,14,datetime,64,2
?,14,time,70,2
?,14,.net,73,45
?,14,timespan,75,1
?,14,web,81,16
?,14,browser,88,5
?,14,timezone,90,1
?,14,math,107,2
?,14,datatable,116,1
?,14,linq,119,4
?,14,query,120,3
?,14,web-services,125,3
?,14,.net-3.5,126,4
?,14,binary,127,1
?,14,data,128,2
?,14,mysql,130,13
?,14,database,132,30
?,14,performance,140,7
?,14,algorithm,141,2
?,14,language-agnostic,142,20
?,14,unix,143,7
?,14,php,148,15
?,14,c++,168,12
?,14,sockets,173,2
?,14,flex,183,6
?,14,actionscript-3,184,4
?,14,sql,190,15
?,14,sql-server,193,26
?,14,timer,196,1
?,14,console,199,1
?,14,vb.net,203,6
?,14,plugins,209,5
?,14,architecture,215,2
?,14,button,219,2
?,14,file,247,3
?,14,types,251,1
?,14,rdoc,275,1
?,14,ruby,277,16
?,14,subclipse,285,1
?,14,aptana,287,1
?,14,eclipse,297,3
?,14,svn,298,16
?,14,air,302,2
?,14,linux,337,10
?,14,tortoisesvn,348,2
?,14,tutorials,349,6
?,14,memory,354,3
?,14,windows,366,19
?,14,64bit,369,1
?,14,asp.net,386,27
?,14,csv,395,1
?,14,xml,398,4
?,14,java,400,22
?,14,oop,419,6
?,14,theory,420,3
?,14,server,427,2
?,14,apache,454,3
?,14,versioning,472,1
?,14,embed,481,1
?,14,version-control,496,10
?,14,printing,512,1
?,14,video,515,3
?,14,pdf,535,4
?,14,internationalization,568,2
?,14,globalization,569,1
?,14,cloud,585,1
?,14,arrays,599,4
?,14,tag-cloud,601,1
?,14,git,628,2
?,14,dvcs,630,2
?,14,sqlite,631,1
?,14,remote,642,1
?,14,forms,648,3
?,14,scripting,651,1
?,14,gtk,660,1
?,14,concurrency,671,1
?,14,environment,678,2
?,14,directory,681,1
?,14,visual-studio,698,18
?,14,sorting,712,1
?,14,discussion,719,1
?,14,session,741,1
?,14,security,742,6
?,14,python,772,18
?,14,cross-platform,786,1
?,14,web-development,800,8
?,14,ant,801,1
?,14,build-process,802,2
?,14,phing,803,1
?,14,joeltest,804,1
?,14,email,810,5
?,14,email-spam,822,1
?,14,generics,839,1
?,14,warnings,840,1
?,14,casting,841,1
?,14,type-safety,842,1
?,14,vb6,856,2
?,14,vb6-migration,864,1
?,14,iphone,865,2
?,14,code-review,876,3
?,14,team,877,2
?,14,coding,883,1
?,14,guidelines,884,1
?,14,whats-your-favourite,889,1
?,14,gravatar,894,1
?,14,hash,895,2
?,14,exploit,898,1
?,14,ide,908,3
?,14,windows-mobile,917,1
