"","sort.db."
"query.copytodatatable",548
"}",555
"alternatively",572
"serializeable",578
"so",579
"web-services",593
".net-3.5",594
"binary",595
"data",596
"mysql",598
"store",602
"database",609
"fastest",610
"pi",616
"solutions",617
"welcome",618
"language",621
"-",624
"looking",628
"obtain",634
"personal",642
"challenge",643
"more",645
"specifically",646
"using",649
"involve",654
"defined",657
"constant",658
"m_pi",660
"hard-coding",663
"number",665
"program",669
"below",670
"test",671
"various",673
"know",676
"inline",680
"assembly",681
"version",682
"theory",686
"option",690
"though",692
"clearly",693
"portable",695
"'ve",698
"included",699
"baseline",703
"compare",705
"other",707
"against",709
"with",715
"built-ins",716
"4",719
"*",720
"atan",721
"1",723
"gcc",729
"4.2",730
"because",732
"-fno-builtin",745
"specified",746
"atan2",749
"-1",753
"main",762
"testing",763
"include",770
"<",771
"math.h",772
">",773
"stdio.h",777
"time.h",782
"define",785
"iters",786
"10000000",787
"x",792
"\",795
"diff",796
"0.0",798
"time1",801
"clock",803
"++i",818
"+=",822
"time2",830
"printf",837
"``",839
"%",840
"e",844
"f\n",850
"''",851
"diffclock",858
"clock_t",873
"time0",877
"clocks_per_sec",890
"int",893
"/*",909
"warmup",910
"case",914
"catch",915
"folding",919
"would",922
"optimise",924
"no-op",938
"used",946
"*/",948
"__gnuc__",973
"&",975
"__i386__",980
"||",982
"__amd64__",985
"extern",988
"endif",1001
"actual",1003
"start",1005
"acos",1020
"asin",1029
"stuff",1062
"noting",1067
"will",1070
"only",1071
"x86",1074
"x64",1076
"system",1077
"asm",1087
"=t",1094
"script",1108
"all",1111
"configuration",1113
"build.sh",1118
"/bin/sh",1123
"-o3",1125
"-wall",1126
"-c",1127
"-m32",1128
"-o",1129
"-m64",1136
"-ffast-math",1143
"-lm",1157
"apart",1197
"compiler",1202
"flag",1203
"compared",1207
"32-bit",1208
"64-bit",1210
"too",1211
"optimisation",1215
"different",1217
"also",1222
"switching",1224
"order",1226
"around",1230
"still",1240
"come",1241
"out",1242
"top",1243
"every",1244
"keen",1251
"hear",1253
"result",1255
"well",1260
"improvement",1262
"process",1266
"performance",1271
"algorithm",1272
"language-agnostic",1273
"unix",1274
"latest",1276
"information",1277
"php",1279
"upcoming",1280
"release",1281
"trying",1284
"track",1286
"progress",1288
"5.3",1291
"6",1294
"occassionally",1297
"see",1298
"blog",1299
"posting",1300
"seem",1306
"authoritative",1310
"source",1311
"does",1313
"anybody",1314
"where",1316
"official",1320
"summary",1321
"possible",1323
"feature",1325
"edit",1327
"some",1331
"meeting",1332
"note",1333
"been",1336
"year",1339
"far",1342
"tell",1346
"ha",1349
"long",1350
"since",1351
"superceded",1353
"nearly",1355
"based",1364
"entirely",1365
"developer",1378
"themselves",1379
"record",1380
"they",1384
"currently",1386
"rather",1388
"than",1389
"long-term",1391
"vision",1392
"throw",1395
"trigger",1399
"before",1405
"update",1406
"table",1409
"prevents",1418
"triggers",1427
"socket",1433
"api",1434
"c++",1436
"z/os",1438
"having",1442
"issue",1443
"getting",1444
"properly",1451
"although",1457
"am",1459
"including",1460
"sys/socket.h",1461
"compile",1466
"telling",1469
"af_inet",1472
"obvious",1481
"could",1484
"related",1487
"fact",1490
"doing",1494
"coding",1496
"problem",1501
"much",1503
"complicated",1505
"sockets",1511
"mainframe",1512
"zos",1513
"unloading",1514
"bytearray",1516
"actionscript",1518
"anyone",1522
"forcefully",1526
"unload",1527
"memory",1531
"as3",1533
"without",1539
"success",1540
"bytearray.length",1543
"int=0",1560
"i++",1566
"[",1570
"]",1572
"null",1574
"idea",1578
"flex",1580
"actionscript-3",1581
"check",1582
"sql",1587
"monitor",1593
"mssql",1595
"modifying",1606
"structure",1608
"preferred",1617
"programming",1618
"environment",1619
"edits",1626
"'d",1629
"support",1632
"ms",1633
"2000",1635
"sp4",1636
"higher",1638
"by",1639
"mean",1647
"ultimately",1659
"event",1669
"application",1672
"instead",1674
"at",1681
"interval",1683
"sql-server",1685
"reliable",1687
"timer",1688
"console",1691
"aware",1695
"dot",1697
"net",1698
"three",1701
"chosen",1713
"threaded",1716
"drift",1723
"thread",1727
"busy",1729
"put",1750
"another",1752
"always",1757
"tick",1758
"along",1759
"begin",1763
"completed",1764
"while",1790
"ticking",1794
"anything",1805
"app",1808
"close",1809
"adding",1813
"true",1816
"loop",1817
"go",1830
"off",1831
"best",1841
"allow",1844
"plugins",1845
"starting",1852
"create",1867
"people",1870
"extend",1872
"plug-in",1876
"interface",1877
"very",1882
"confident",1883
"however",1886
"never",1889
"done",1890
"really",1897
"sure",1898
"about",1907
"writing",1908
"'hooks",1909
"attach",1918
"architecture",1924
"multiple",1926
"submit",1927
"button",1928
"let",1933
"say",1935
"wizard",1939
"back",1948
"forward",1952
"appears",1960
"first",1961
"markup",1964
"press",1968
"enter",1969
"ex",1980
"input",1986
"type=",1987
"text",1989
"name=",1991
"field1",1993
"--",1999
"your",2001
"cursor",2002
"field",2005
"prev",2019
"value=",2021
"previous",2023
"page",2024
"next",2048
"/form",2073
"decide",2085
"move",2110
"tabindex",2125
"form-submit",2131
"distinct",2137
"ordered",2139
"list",2140
"name",2142
"lets",2148
"column",2157
"collection",2164
"unique",2167
"alphabetically",2170
"following",2173
"ignores",2175
"clause",2179
"datarow",2186
"datatable.rows",2189
"orderby",2190
".distinct",2211
"enforced",2221
"office",2226
"2007",2227
"file",2228
"mime",2231
"types",2232
"identifying",2234
"characters",2235
"find",2239
"character",2247
"upload",2256
"restricting",2260
"uploads",2261
"extension",2264
"office-2007",2281
"file-type",2282
"through",2296
"startindex",2306
"count",2309
"add",2316
"existing",2317
"comment",2318
"rdoc",2320
"ruby",2322
"got",2326
"these",2328
"make",2334
"'rdoc",2336
"formatted",2343
"appropriately",2344
"viewed",2346
"'ri",2348
"started",2355
"understanding",2357
"subclipse",2369
"aptana",2371
"newest",2376
"subversion",2379
"1.2.4",2386
"available",2389
"automagic",2393
"manager",2395
"website",2411
"1.4.2",2416
"eclipse",2419
"added",2423
"remote",2426
"site",2428
"//subclipse.tigris.org/update_1.4.x",2432
"install",2442
"told",2446
"needed",2449
"mylyn",2450
"3.0.0",2451
"after",2455
"searching",2457
"found",2459
"//download.eclipse.org/tools/mylyn/update/e3.3",2472
"org.eclipse.ui",2491
"3.3.0",2492
"equivalent",2494
"detail",2500
"look",2505
"built",2509
"3.2.2",2512
"upgrade",2523
"necessarily",2560
"question",2565
"hope",2569
"ok",2572
"highly",2576
"relevant",2577
"experience",2581
"svn",2584
"adobe",2587
"air",2588
"sqlstatement.execute",2590
"statement",2598
"written",2601
"generation",2604
"trole",2622
"roleid",2624
"integer",2625
"primary",2626
"key",2627
"rolename",2629
"varchar",2630
"40",2632
"tfile",2638
"fileid",2640
"filename",2645
"50",2648
"filedescription",2651
"500",2654
"thumbnailid",2657
"fileformatid",2660
"categoryid",2663
"isfavorite",2666
"boolean",2667
"dateadded",2669
"date",2670
"globalaccesscount",2672
"lastaccesstime",2675
"downloadcomplete",2678
"isnew",2681
"isspotlight",2684
"duration",2687
"30",2690
"tcategory",2696
"categoryname",2703
"parent_categoryid",2709
"method",2722
"function",2726
"runsqlfromfile",2727
"void",2734
"file.applicationdirectory.resolvepath",2741
"stream",2747
"filestream",2749
"stream.open",2756
"filemode.read",2760
"strsql",2763
"stream.readutfbytes",2767
"stream.bytesavailable",2769
"nonquery",2772
"sqlconnection",2791
"sqlconnection.open",2800
"file.applicationstoragedirectory.resolvepath",2802
"dbpath",2804
"sqlstatement",2808
"sqlstatement.text",2817
"sqlstatement.sqlconnection",2821
"sqlerror",2836
"alert.show",2839
"error.tostring",2841
"no",2848
"generated",2851
"exists",2856
"seems",2859
"up",2869
"semicolon-",2872
"remove",2875
"fails",2880
"anyway",2885
"call",2887
"flat",2897
"databases",2899
"practice",2906
"creating",2908
"lot",2917
"mature",2921
"framework",2925
"attempt",2930
"implement",2932
"sql-like",2933
"syntax",2935
"purpose",2944
"most",2946
"just",2951
"point",2957
"elegant",2963
"trick",2964
"good",2969
"small",2975
"overhead",2977
"taking",2982
"place",2989
"gettimeofday",2995
"guaranteed",2998
"microsecond",3002
"resolution",3003
"myself",3008
"game",3011
"wa",3013
"originally",3014
"win32",3018
"linux",3021
"os",3027
"port",3029
"implemented",3040
"queryperformancecounter",3041
"giving",3043
"useconds",3045
"bool",3052
"large_integer*",3055
"quadpart",3069
"*=",3080
"1000",3082
"coupled",3103
"queryperformancefrequency",3105
"1000000",3111
"frequency",3114
"machine",3119
"64",3124
"bit",3125
"variable",3126
"contains",3128
"discover",3147
"kernel",3153
"compiled",3155
"certain",3158
"being",3170
"non-portable",3171
"branch/merge",3186
"tutorial",3187
"tortoise",3189
"explaining",3199
"branching",3200
"merging",3202
"better",3208
"tortoisesvn",3217
"tutorials",3218
"anatomy",3219
"leak",3224
"perspective",3228
"understand",3238
"whether",3239
"effect",3247
"prevent",3251
"away",3266
"exit",3270
"killed",3272
"affect",3281
"even",3287
"completion",3290
"unmanaged",3295
"accessed",3297
"com",3299
"interop",3300
"and/or",3301
"p/invoke",3302
"answer",3312
"complete",3316
"think",3321
"com-interop",3327
"client",3330
"windows",3332
"vista",3333
"64bit",3335
"quite",3347
"feature-complete",3354
"nicely",3356
"integrated",3357
"shell",3361
"importantly",3365
"fairly",3369
"painless",3370
"teach",3372
"colleague",3374
"little",3376
"we",3387
"moved",3389
"buggy",3399
"seemed",3402
"cause",3404
"explorer.exe",3407
"abnormality",3408
"crash",3410
"happened",3414
"both",3415
"older",3417
"software",3421
"1.5.1",3427
"13563",3429
"curious",3434
"suggestion",3438
"run",3445
"developers",3454
"variety",3458
"editor",3461
"studio",3465
"dreamweaver",3467
"ideal",3472
"heard",3476
"great",3477
"thing",3478
"cornerstone",3480
"love",3484
"similar",3486
"decoding",3496
"t-sql",3497
"cast",3498
"/vb.net",3502
"recently",3503
"our",3504
"deluged",3508
"resurgence",3511
"bot",3515
"injection",3517
"attack",3518
"going",3521
"encoding",3533
"command",3536
"ascii",3539
"encoded",3540
"declare",3550
"20",3552
"@",3553
"s",3554
"4000",3558
"set",3561
"s=cast",3565
"20as",3571
"exec",3579
"able",3588
"decode",3590
"wary",3600
"did",3606
"exactly",3609
"happening",3612
"write",3620
"simple",3622
"touching",3635
"decoded",3644
"as",3652
"nvarchar",3653
"luck",3668
"system.web.httputility.urldecode",3672
"encoding.ascii.getstring",3679
"encoding.ascii.getbytes",3681
"encoding.unicode.getstring",3689
"encoding.unicode.getbytes",3691
"convert.frombase64string",3711
"suggest",3719
"proper",3721
"translate",3724
"'ll",3737
"take",3738
"familiar",3744
"hex",3753
"asp.net",3754
"maps",3756
"has",3757
"sql-based",3762
"site-map",3764
"provider",3765
"default",3771
"xml",3772
"web.sitemap",3773
"working",3775
"menu",3779
"sitemappath",3781
"modify",3799
"dynamically",3801
"tie",3807
"viewing",3809
"permission",3810
"membership",3815
"advice",3824
"article",3826
"read",3828
"video",3830
"clip",3831
"watch",3833
"navigation",3837
"sitemap",3839
"converting",3840
"csv",3841
"java",3846
"library",3853
"tag",3872
"provided",3875
"maybe",3877
"row",3880
"heading",3883
"data-conversion",3888
"access",3892
"object",3893
"property",3894
"within",3896
"purist",3905
"correct",3909
"getter/setter",3927
"outside",3934
"this.property",3957
"$",3961
"this-",3965
"this.getproperty",3979
"getproperty",3991
"forgive",3995
"programmed",4012
"assuming",4022
"talking",4025
"private",4027
"protected",4029
"variables/properties",4030
"learned",4035
"oo",4036
"taught",4039
"getters/setters",4042
"single",4045
"actually",4054
"variable/property",4062
"may",4069
"false",4075
"assumption",4076
"answering",4086
"saying",4091
"those",4100
"getters",4104
"setter",4106
"discussed",4129
"probably",4135
"topic",4138
"oop",4147
"export",4151
"2005",4156
"banging",4162
"head",4164
"300",4186
"turn",4194
"bcp",4207
"unfortunately",4209
"produce",4213
"valid",4214
"encapsulated",4220
"ca",4223
"deal",4225
"comma",4235
"whatever",4240
"delimiter",4245
"hand",4253
"obviously",4262
"connect",4286
"lose",4300
"view",4301
"stored",4303
"procedure",4304
"hard",4314
"us",4321
"base",4322
"such",4337
"mind",4344
"many",4346
"simplification",4352
"occur",4353
"float",4362
"pruning",4375
"normalising",4377
"care",4386
"keeping",4388
"relationship",4391
"initial",4400
"fast",4405
"xsd",4412
"datasets",4413
"ignoring",4415
"foreign",4416
"pretty",4421
"setup",4424
"current",4427
"tableadapter",4435
"contract",4439
"consists",4441
"department",4454
"departments",4464
"basic",4471
"id",4475
"functioning",4484
"drag",4499
"once",4504
"auto",4507
"detects/creates",4508
"two",4516
"administrative",4542
"typically",4551
"dim",4557
"dtdepartment",4558
"departmentdatatable",4561
"tadepartment",4565
"departmenttableadapter",4568
"tadepartment.fill",4571
"exception",4581
"thrown",4583
"reference",4594
"broken",4595
"guessing",4600
"filled",4609
"encountered",4613
"simply",4621
"additional",4638
"integrity",4639
"schema",4646
"match",4647
"nice",4655
"downloads",4665
"apache/php",4667
"play",4673
"mp3",4674
"flash",4678
"player",4679
"click",4684
"'play",4685
"automatically",4690
"playing",4696
"particular",4710
"song",4711
"downloaded",4720
"apache",4723
"sync",4727
"revision",4730
"stackoverflow.com",4738
"bottom",4745
"679",4751
"automatic",4758
"versioning",4759
"win",4765
"wpf",4768
"projects/solutions",4769
"embedding",4775
"media",4777
"browsers",4781
"hello",4782
"wmv",4787
"videos",4788
"internal",4791
"them",4798
"now",4803
"internet",4810
"explorer",4811
"stop",4832
"silverlight",4844
"yet",4846
"especially",4848
"xp",4859
"installed",4861
"wonder",4868
"sort",4873
"universal",4875
"embeds",4878
"wmp",4879
"ie",4882
"user-agent-detection",4893
"deliver",4895
"embed",4903
"wanting",4919
"under",4924
"recommended",4934
"least",4948
"mention",4956
"administrator",4961
"often",4968
"large",4971
"measurement",4979
"version-control",4983
"print",4987
"document",4990
"overkill",5013
"service-environment",5022
"nor",5024
"tight",5034
"security",5035
"constraint",5036
"free",5043
"printing",5050
"running",5069
"printthing",5074
"thread.currentthread.getapartmentstate",5082
"apartmentstate.sta",5087
"threadstart",5097
"delegate",5099
"printdocument",5101
"thread.setapartmentstate",5109
"thread.start",5114
"else",5119
"webbrowser",5136
"browser.documenttext",5144
"browser.readystate",5150
"webbrowserreadystate.complete",5153
"application.doevents",5156
"browser.print",5161
"called",5170
"ui-type",5172
"nothing",5176
"happens",5177
"service-type",5182
"changing",5185
"showprintpreviewdialog",5190
"yield",5193
"'dialogarguments.___ie_printtype",5202
"url",5210
"re",5212
"//ieframe.dll/preview.dlg",5214
"empty",5218
"preview",5220
"dialog",5221
"annotating",5228
"youtube",5229
"programatically",5231
"normal",5240
"overlaid",5244
"annotation",5245
"colored",5250
"rectangle",5251
"each",5253
"frame",5254
"requirement",5258
"require",5272
"front",5276
"end",5277
"generate",5290
"own",5307
"ew",5311
"somehow",5314
"draw",5315
"reverse",5326
"engineer",5327
"hijack",5329
"either",5335
"messing",5336
"local",5339
"redirecting",5342
"download",5347
"greasemonkey",5353
"plugin",5356
"ideas",5359
"re-encode",5372
"p",5379
"annotations",5380
"reverse-engineering",5382
"error_log",5385
"per",5386
"virtual",5387
"host",5388
"5",5398
"hosts",5404
"separate",5406
"logfiles",5407
"everything",5409
"overriding",5428
"location",5434
"httpd.conf",5438
"overlook",5448
"error_logs",5459
"programmatically",5470
"pdf",5473
"please",5479
"recommend",5480
"color",5498
"wheel",5499
"pseudo-solved",5505
"solution",5513
"stuck",5516
"n",5531
"distinguishable",5536
"parameter",5543
"colors",5547
"color-space",5548
"floating",5549
"parsing",5552
"fun",5564
"multi-cultural",5567
"format",5571
"americans",5573
"10,000.50",5575
"germans",5577
"10.000,50",5579
"french",5581
"10",5583
"000,50",5584
"approach",5589
"parse",5597
"backwards",5599
"until",5601
"encounter",5603
"separator",5605
"flaw",5616
"10.000",5620
"interpreted",5623
"non-numeric",5636
"last",5641
"discard",5648
"others",5650
"occurs",5661
"digit",5683
"yes",5688
"otherwise",5693
"detect",5709
"culture",5713
"frenchman",5726
"en-us",5729
"windows/browser",5730
"contain",5740
"mythical",5742
"black",5743
"magic",5744
"parser",5747
"auto-detect",5763
"internationalization",5772
"globalization",5773
"upgrading",5774
"6.5",5777
"existence",5784
"2008",5794
"absurd",5796
"stipulated",5799
"migrate",5807
"direct",5816
"path",5817
"documentation",5822
"7",5831
"forget",5835
"native",5838
"utility",5842
"recreate",5856
"scratch",5858
"weekend",5868
"pushed",5873
"till",5876
"welcomed",5885
"during",5886
"course",5888
"week",5891
"ended",5899
"master",5911
"allows",5927
"oledb",5932
"standalone",5944
"import",5946
"dts",5954
"package",5955
"successfully",5965
"copied",5966
"enterprise",5985
"index",5995
".sql",6000
"management",6018
"dozen",6045
"sprocs",6046
"had",6047
"incompatible",6051
"mainly",6055
"non-ansi",6056
"join",6057
"quoted",6059
"identifier",6060
"corrected",6063
"re-executed",6069
"recreated",6074
"logins",6078
"gave",6082
"appropriate",6084
"rinse/repeat",6092
"correcting",6094
"were",6100
"hundred",6101
"went",6111
"analyzer",6124
"amazing",6132
"few",6136
"report",6137
"took",6140
"20-30",6141
"second",6142
"1-2",6151
"modification",6156
"expect",6167
"kind",6169
"immediate",6171
"migration",6175
"cloud",6185
"array",6188
"h1",6192
"h6",6194
"sizing",6196
"artist",6207
"root",6213
"michael",6217
"jackson",6218
"billy",6222
"idol",6223
"and_yet_more",6236
"5,3,9,1,1,3",6245
"clound",6255
"lowest",6272
"arrays",6280
"tag-cloud",6282
"register",6283
"mailto",6288
"protocol",6289
"link",6299
"registered",6302
"handle",6312
"quick",6327
"google",6328
"search",6329
"manually",6335
"email",6360
"removed",6366
"delphi",6369
"independent",6375
"implementation",6385
"replace",6388
"incredibly",6394
"useful",6395
"properitary",6397
"easily",6408
"emulated",6410
"transaction",6419
"insert",6431
"commit",6433
"pain",6440
"a..",6443
"therefore",6453
"distributed",6485
"interested",6492
"git",6494
"looked",6501
"essentially",6506
"dvcs",6527
"sqlite",6528
"past",6552
"fuse",6565
"development",6573
"gather",6593
"info",6594
"forms",6635
"scripting",6638
"functionality",6639
"back-end",6658
"trading",6663
"card",6664
"wanted",6669
"icard",6692
"class",6697
"card056",6702
"maintainable/moddable",6723
"add/change",6754
"refresh",6771
"needing",6774
"deployment",6777
"instantiate",6810
"cards",6816
"mygame.cardlibrary.card056",6822
".onenterplay",6830
"ref",6832
"currentgamestate",6833
"extra",6843
"bonus",6844
"gtk",6862
"messagebox",6865
"sdl/opengl",6881
"initialisation",6894
"gtk_init",6896
"inside",6901
"follows",6906
"hwnd",6911
"const",6914
"char*",6915
"caption",6920
"uint",6922
"gtkwidget",6926
"*window",6927
"*dialog",6932
"gtkargc",6939
"gtkargv",6942
"window",6945
"gtk_window_new",6947
"gtk_window_toplevel",6949
"g_signal_connect",6952
"g_object",6954
"delete_event",6960
"g_callback",6963
"destroy",6979
"gcallback",6991
"gtk_main_quit",6993
"gtk_init_add",6996
"gtkfunction",6999
"mb_yesno",7010
"gtk_message_dialog_new",7015
"gtk_window",7017
"gtk_dialog_destroy_with_parent",7022
"gtk_message_question",7024
"gtk_buttons_yes_no",7026
"gtk_message_info",7045
"gtk_buttons_ok",7047
"gtk_window_set_title",7053
"gint",7063
"gtk_dialog_run",7066
"gtk_dialog",7068
"gtk_main",7074
"gtk_widget_destroy",7078
"switch",7090
"gtk_response_delete_event",7098
"gtk_response_no",7101
"idno",7104
"break",7106
"gtk_response_yes",7109
"idyes",7112
"idok",7119
"experienced",7130
"programmer",7132
"realise",7136
"horribly",7146
"wrong",7147
"popped",7158
"stay",7163
"x11",7178
"berkeleydb",7179
"concurrency",7180
"seeking",7189
"expert",7190
"optimal",7196
"level",7197
"reasonably",7207
"hammering",7216
"throughput",7222
"suffer",7225
"resource",7228
"contention",7229
"manual",7235
"lock",7244
"locker",7246
"size",7250
"etc.",7252
"who",7263
"real-world",7265
"bdb",7268
"1kb",7289
"deleting",7296
"berkeley-db",7299
"collaborative",7303
"bin",7306
"directory",7307
"checking",7316
"project",7329
"excluded",7333
"checkin",7335
"easier",7339
"develop",7348
"dotnetnuke",7352
"multi-developer",7360
"huge",7367
"task",7368
"correctly",7374
"ultimate",7377
"goal",7378
"checkout",7389
"trunk",7391
"restore",7395
"dnn",7397
"'work",7404
"collaboration",7408
"integrate",7418
"ankhsvn",7422
"bug",7435
"ankh",7439
"repository",7456
"wo",7459
"frontpage",7475
"extensions",7476
"open",7481
"alternative",7488
"exist",7494
"downloading",7497
"ftp",7501
"svn.exe",7506
"integration",7513
"ide",7526
"whole",7552
"tracking/comparison",7554
"visual-studio",7566
"dictionary",7575
"example",7597
"hash",7602
"word",7604
"sortedlist",7619
"map",7635
"sorteddictionary",7642
"resort",7651
"custom",7654
"cleanest",7661
"sorting",7665
"learn",7668
"original",7671
"theme",7681
"stackoverflow",7684
"podcast",7685
"jeff",7700
"joel",7702
"background",7715
"primarily",7717
"enterprisy",7723
"favorite",7727
"python",7730
"scheme",7732
"amount",7740
"practically",7745
"lots",7777
"folk",7779
"recomending",7780
"assembler",7781
"motorolla",7808
"68000",7809
"intel",7810
"he",7814
"masm32",7819
"discussion",7821
"continue",7865
"remember",7872
"down",7875
"replicated",7883
"live",7886
"changed",7899
"push",7916
"big",7924
"newcolumnx",7932
"ugh",7934
"regardless",7936
"situation",7950
"technology",7969
"migrations",7997
"engine",7998
"belief",8004
"microsoft",8006
"ruby-like",8013
"possibly",8053
"session",8063
"guideline",8068
"maintaining",8070
"responsible",8071
"landed",8092
"nested",8104
"playback",8121
"recording",8123
"act",8131
"pause",8148
"workhorse",8161
"benefits/drawbacks",8208
"according",8215
"book",8218
"reading",8221
"mine",8230
"suggests",8234
"scenario",8238
"nest",8248
"meant",8269
"avoid",8275
"naming",8278
"conflict",8279
"justification",8287
"concept",8294
"unsigned",8314
"signed",8317
"opinion",8326
"resembling",8339
"consensus",8341
"something.length",8374
"something.at",8384
"said",8398
"must",8425
"concious",8429
"decision",8430
"sun",8432
"hearing",8439
"everybody",8440
"processing",8447
"piece",8456
"post",8466
"expand",8488
"skill",8490
"model",8500
"uncertain",8508
"pro",8511
"con",8513
"building",8544
"permutation",8557
"generating",8566
"y",8579
"length",8582
"cross-platform",8603
"you/should",8613
"automate",8615
"choice",8623
"real",8637
"step",8639
"'build",8641
"snapshot",8654
"config",8657
"compress",8661
"js",8664
"tests",8666
"clean",8684
"confirm",8695
"successful",8700
"web-development",8713
"ant",8714
"build-process",8715
"phing",8716
"joeltest",8717
"send",8725
"marked",8730
"spam",8732
"tricky",8737
"relied",8744
"technique",8746
"permission-based",8749
"i.e",8752
"sending",8755
"blatantly",8768
"spamish",8769
"terminology",8770
"late",8773
"shuffled",8786
"folder",8791
"wondering",8797
"despite",8807
"human",8818
"mark",8820
"license",8831
"paid",8836
"money",8838
"'re",8847
"consider",8850
"figure",8855
"ignorant",8867
"simpleton",8868
"email-spam",8871
"meaning",8875
"safety",8879
"warning",8880
"generic",8884
"erased",8910
"getmylist",8942
"generics",8961
"warnings",8962
"casting",8963
"type-safety",8964
"lucene",8965
"score",8966
"covered",8977
"partition",8980
"searched",9009
"john",9014
"smith",9015
"dob",9016
"0.345",9026
"0.337",9034
"matched",9036
"vb6",9054
"vb",9056
"company",9060
"monolithic",9063
"customer",9069
"car",9074
"dealership",9075
"grown",9088
"substantially",9089
"newer",9118
"considerably",9120
"speed",9130
"harder",9157
"almost",9162
"impossible",9165
"dropped",9171
"platform",9187
"inevitable",9189
"requires",9197
"fundamentally",9203
"heck",9206
"pas",9212
"sub",9215
"re-design",9235
"re-write",9237
"position",9255
"smooth",9262
"transition",9264
"avoided",9273
"sell",9279
"bos",9284
"suit",9290
"roi",9298
"vb6-migration",9303
"iphone",9304
"landscape",9307
"mode",9308
"device",9334
"builder",9342
"aid",9347
"review",9349
"team",9353
"label",9367
"publish",9371
"reviewer",9376
"reviewers",9377
"line",9385
"marker",9388
"reviewer_name",9392
":review",9394
"preferably",9410
"keep",9427
"excel",9429
"sheet",9430
"considered",9433
"reason",9436
"ignored",9438
"might",9451
"sometimes",9455
"projector",9483
"fly",9487
"guy",9499
"help",9505
"smoother",9510
"collaborator",9517
"worth",9527
"code-review",9531
"guidelines",9539
"checklist",9540
"satisfy",9557
"everyone",9558
"ask",9572
"embedded",9574
"whats-your-favourite",9597
"address",9600
"gravatar",9602
"suppose",9606
"generates",9609
"image",9611
"difficult",9626
"associated",9633
"isnt",9638
"potential",9641
"threat",9643
"thought",9648
"calling",9653
"paranoid",9655
"already",9661
"exploit",9664
"everyday",9678
"extending",9683
"legacy",9684
"common",9689
"c/c++",9694
"improve",9703
"asynchronous",9710
"enough",9718
"rely",9721
"fire",9726
"load",9744
"quit",9756
"loaded",9765
"unable",9772
"recompile",9774
"vc6",9777
"dll",9781
"locked",9784
"enable",9793
"createobject",9801
"full",9806
"intellisense",9842
"quitting",9860
"directly",9865
"launch",9873
"mobile",9875
"favorites",9876
"screen..",9877
"iemobile",9884
"screen",9887
"specifying",9890
"windows-mobile",9896
"pocketpc",9897
"ie-mobile",9898
"schedule",9902
"couple",9913
"scheduled",9925
"periodically",9928
"happy",9946
"feeling",9958
"unacceptable",9971
"cron",9982
"job",9983
"scheduled-tasks",10005
"rails",10014
"rails-app",10018
"sign",10021
"box",10023
"checkbox",10030
"users",10032
"remain",10038
"logged",10039
"closing",10043
"storing",10058
"cooky",10075
"persistent",10080
"applicationcontroller",10089
