Id,SourceTagName,TargetTagName,CreationDate,OwnerUserId,AutoRenameCount,LastAutoRename,Score,ApprovedByUserId,ApprovalDate
"23","vs2005","visual-studio-2005","2010-07-16 00:26:24","17174","295","2012-11-22 14:11:40","0","17174","2010-07-16 00:26:24"
"24","vs2010","visual-studio-2010","2010-07-16 00:26:44","17174","2728","2012-12-05 22:55:22","0","17174","2010-07-16 00:26:44"
"26","primarykey","primary-key","2010-07-16 00:31:42","17174","22","2012-12-05 07:20:30","0","17174","2010-07-16 00:31:42"
"27","primary-keys","primary-key","2010-07-16 00:32:08","17174","0","","0","17174","2010-07-16 00:32:08"
"28","foreign-key","foreign-keys","2010-07-16 00:33:09","17174","91","2012-11-29 15:28:24","0","17174","2010-07-16 00:33:09"
"29","postgres","postgresql","2010-07-16 00:37:27","17174","1333","2012-12-08 05:59:02","0","17174","2010-07-16 00:37:27"
"30","macosx","osx","2010-07-16 01:05:40","13531","1917","2012-11-27 14:25:36","0","13531","2010-07-16 01:05:40"
"31","javame","java-me","2010-07-16 01:07:25","13531","180","2012-11-21 19:54:37","0","13531","2010-07-16 01:07:25"
"32","j2me","java-me","2010-07-16 01:12:15","13531","3087","2012-12-07 10:53:25","0","13531","2010-07-16 01:12:15"
"33","ie","internet-explorer","2010-07-16 02:35:11","1228","2769","2012-12-08 20:03:57","0","1228","2010-07-16 02:35:11"
"34","msie","internet-explorer","2010-07-16 02:35:42","1228","41","2012-10-29 09:00:17","0","1228","2010-07-16 02:35:42"
"35","applets","applet","2010-07-16 15:51:08","1288","54","2012-07-28 17:37:50","0","1288","2010-07-16 15:51:08"
"36","jsr303","bean-validation","2010-07-16 15:51:08","1288","87","2012-11-29 10:21:35","0","1288","2010-07-16 15:51:08"
"37","ejb3","ejb-3.0","2010-07-16 15:51:08","1288","421","2012-12-03 12:50:20","0","1288","2010-07-16 15:51:08"
"38","ejb-3","ejb-3.0","2010-07-16 15:51:08","1288","3","2012-02-19 21:43:35","0","1288","2010-07-16 15:51:08"
"39","ejb3.0","ejb-3.0","2010-07-16 15:51:08","1288","39","2012-07-31 23:25:57","0","1288","2010-07-16 15:51:08"
"40","ejb31","ejb-3.1","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"41","ejb-31","ejb-3.1","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"42","ejb3.1","ejb-3.1","2010-07-16 15:51:08","1288","59","2012-12-01 07:03:56","0","1288","2010-07-16 15:51:08"
"43","glassfish3","glassfish-3","2010-07-16 15:51:08","1288","12","2012-12-02 21:19:14","0","1288","2010-07-16 15:51:08"
"44","glassfishv3","glassfish-3","2010-07-16 15:51:08","1288","26","2011-07-03 22:40:00","0","1288","2010-07-16 15:51:08"
"45","glassfish-v3","glassfish-3","2010-07-16 15:51:08","1288","5","2010-08-17 21:16:29","0","1288","2010-07-16 15:51:08"
"47","java2d","java-2d","2010-07-16 15:51:08","1288","137","2012-12-08 17:06:09","0","1288","2010-07-16 15:51:08"
"48","java3d","java-3d","2010-07-16 15:51:08","1288","122","2012-11-28 10:10:44","0","1288","2010-07-16 15:51:08"
"50","java14","java-1.4","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"51","java5","java-5","2010-07-16 15:51:08","1288","22","2011-10-07 05:12:00","0","1288","2010-07-16 15:51:08"
"52","java5.0","java-5","2010-07-16 15:51:08","1288","4","2011-05-27 16:16:56","0","1288","2010-07-16 15:51:08"
"53","java-5.0","java-5","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"54","java6","java-6","2010-07-16 15:51:08","1288","59","2012-12-04 18:51:13","0","1288","2010-07-16 15:51:08"
"55","java6.0","java-6","2010-07-16 15:51:08","1288","8","2011-02-04 16:42:49","0","1288","2010-07-16 15:51:08"
"56","java-6.0","java-6","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"57","java7","java-7","2010-07-16 15:51:08","1288","86","2012-12-01 03:48:50","0","1288","2010-07-16 15:51:08"
"58","java7.0","java-7","2010-07-16 15:51:08","1288","1","2012-03-15 06:25:12","0","1288","2010-07-16 15:51:08"
"59","java-7.0","java-7","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"61","javaee","java-ee","2010-07-16 15:51:08","1288","573","2012-12-08 07:51:09","0","1288","2010-07-16 15:51:08"
"62","jee","java-ee","2010-07-16 15:51:08","1288","872","2012-12-08 18:50:39","0","1288","2010-07-16 15:51:08"
"63","javaee5","java-ee-5","2010-07-16 15:51:08","1288","19","2011-08-04 20:40:20","0","1288","2010-07-16 15:51:08"
"64","javaee-5","java-ee-5","2010-07-16 15:51:08","1288","9","2010-11-05 14:58:19","0","1288","2010-07-16 15:51:08"
"65","java-ee5","java-ee-5","2010-07-16 15:51:08","1288","6","2011-06-15 12:48:51","0","1288","2010-07-16 15:51:08"
"66","jee5","java-ee-5","2010-07-16 15:51:08","1288","136","2012-09-27 08:02:35","0","1288","2010-07-16 15:51:08"
"67","jee-5","java-ee-5","2010-07-16 15:51:08","1288","7","2011-07-14 15:45:15","0","1288","2010-07-16 15:51:08"
"68","javaee6","java-ee-6","2010-07-16 15:51:08","1288","72","2012-09-01 23:36:19","0","1288","2010-07-16 15:51:08"
"69","javaee-6","java-ee-6","2010-07-16 15:51:08","1288","32","2012-12-08 12:58:39","0","1288","2010-07-16 15:51:08"
"70","java-ee6","java-ee-6","2010-07-16 15:51:08","1288","17","2011-12-22 18:39:12","0","1288","2010-07-16 15:51:08"
"71","jee6","java-ee-6","2010-07-16 15:51:08","1288","294","2012-12-04 17:51:01","0","1288","2010-07-16 15:51:08"
"72","jee-6","java-ee-6","2010-07-16 15:51:08","1288","53","2012-11-19 23:11:37","0","1288","2010-07-16 15:51:08"
"74","javaio","java-io","2010-07-16 15:51:08","1288","26","2012-04-30 11:23:54","0","1288","2010-07-16 15:51:08"
"75","java.io","java-io","2010-07-16 15:51:08","1288","19","2012-11-18 21:18:10","0","1288","2010-07-16 15:51:08"
"76","jaxrs","jax-rs","2010-07-16 15:51:08","1288","61","2012-12-07 21:39:24","0","1288","2010-07-16 15:51:08"
"77","jaxws","jax-ws","2010-07-16 15:51:08","1288","145","2012-12-06 23:18:54","0","1288","2010-07-16 15:51:08"
"78","jpa2","jpa-2.0","2010-07-16 15:51:08","1288","192","2012-11-29 09:28:29","0","1288","2010-07-16 15:51:08"
"79","jpa-2","jpa-2.0","2010-07-16 15:51:08","1288","43","2011-09-30 23:23:11","0","1288","2010-07-16 15:51:08"
"80","jpa2.0","jpa-2.0","2010-07-16 15:51:08","1288","80","2012-09-11 14:59:15","0","1288","2010-07-16 15:51:08"
"81","jsf2","jsf-2","2010-07-16 15:51:08","1288","454","2012-12-05 20:40:16","0","1288","2010-07-16 15:51:08"
"83","jsf2.0","jsf-2","2010-07-16 15:51:08","1288","235","2012-12-03 21:05:39","0","1288","2010-07-16 15:51:08"
"84","jsp-tag","jsp-tags","2010-07-16 15:51:08","1288","2","2010-08-31 11:43:09","0","1288","2010-07-16 15:51:08"
"85","jsp-tag-files","jsp-tags","2010-07-16 15:51:08","1288","3","2012-08-01 05:25:58","0","1288","2010-07-16 15:51:08"
"86","jsp-tagfiles","jsp-tags","2010-07-16 15:51:08","1288","3","2011-05-03 14:19:13","0","1288","2010-07-16 15:51:08"
"87","jspfragments","jsp-fragments","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"88","jsp-fragment","jsp-fragments","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"89","jspfragment","jsp-fragments","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"90","jsp-f","jsp-fragments","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"91","jspf","jsp-fragments","2010-07-16 15:51:08","1288","18","2012-10-16 19:33:37","0","1288","2010-07-16 15:51:08"
"92","maven2","maven-2","2010-07-16 15:51:08","1288","332","2012-11-27 09:07:18","0","1288","2010-07-16 15:51:08"
"93","servlet","servlets","2010-07-16 15:51:08","1288","2523","2012-12-07 22:43:47","0","1288","2010-07-16 15:51:08"
"94","servletfilter","servlet-filters","2010-07-16 15:51:08","1288","6","2012-05-11 12:50:38","0","1288","2010-07-16 15:51:08"
"95","servlet-filter","servlet-filters","2010-07-16 15:51:08","1288","49","2012-11-28 21:30:41","0","1288","2010-07-16 15:51:08"
"96","servletfilters","servlet-filters","2010-07-16 15:51:08","1288","4","2011-01-24 21:36:11","0","1288","2010-07-16 15:51:08"
"98","tomcat-5","tomcat-5.0","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"99","tomcat5.0","tomcat-5.0","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"102","tomcat-6","tomcat-6.0","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"103","tomcat6.0","tomcat-6.0","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"104","weblogic8","weblogic-8.x","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"105","weblogic-8","weblogic-8.x","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"106","weblogic8.1","weblogic-8.x","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"107","weblogic-8.1","weblogic-8.x","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"109","weblogic9","weblogic-9.x","2010-07-16 15:51:08","1288","2","2011-01-10 10:15:06","0","1288","2010-07-16 15:51:08"
"112","weblogic10","weblogic-10.x","2010-07-16 15:51:08","1288","4","2012-05-14 22:45:35","0","1288","2010-07-16 15:51:08"
"113","weblogic-10","weblogic-10.x","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"114","weblogic10.x","weblogic-10.x","2010-07-16 15:51:08","1288","37","2012-10-14 18:01:25","0","1288","2010-07-16 15:51:08"
"115","weblogic11","weblogic-11g","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"116","weblogic-11","weblogic-11g","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"118","eclipse-ganymede","eclipse-3.4","2010-07-16 15:51:08","1288","2","2010-11-17 07:37:55","0","1288","2010-07-16 15:51:08"
"119","eclipse-galileo","eclipse-3.5","2010-07-16 15:51:08","1288","29","2011-06-14 08:07:27","0","1288","2010-07-16 15:51:08"
"120","eclipse-helios","eclipse-3.6","2010-07-16 15:51:08","1288","133","2012-09-12 18:30:23","0","1288","2010-07-16 15:51:08"
"121","qtcreator","qt-creator","2010-07-16 15:51:08","1288","201","2012-12-04 08:31:31","0","1288","2010-07-16 15:51:08"
"123","visualc++","visual-c++","2010-07-16 15:51:08","1288","249","2012-11-24 21:54:23","0","1288","2010-07-16 15:51:08"
"124","msvc++","visual-c++","2010-07-16 15:51:08","1288","217","2012-12-08 21:03:58","0","1288","2010-07-16 15:51:08"
"125","msvc","visual-c++","2010-07-16 15:51:08","1288","357","2012-12-06 10:18:52","0","1288","2010-07-16 15:51:08"
"126","visualstudio","visual-studio","2010-07-16 15:51:08","1288","1384","2012-12-08 06:06:54","0","1288","2010-07-16 15:51:08"
"127","team-system","visual-studio-team-system","2010-07-16 15:51:08","1288","96","2011-02-06 11:00:01","0","1288","2010-07-16 15:51:08"
"129","visual-web","visual-web-developer","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"130","algorithms","algorithm","2010-07-16 15:51:08","1288","886","2012-12-05 01:24:48","0","1288","2010-07-16 15:51:08"
"131","ai","artificial-intelligence","2010-07-16 15:51:08","1288","246","2012-12-08 04:32:48","0","1288","2010-07-16 15:51:08"
"132","ann","artificial-neural-network","2010-07-16 15:51:08","1288","1","2010-10-12 19:32:49","0","1288","2010-07-16 15:51:08"
"133","astar","a-star","2010-07-16 15:51:08","1288","44","2012-11-21 00:21:54","0","1288","2010-07-16 15:51:08"
"134","baseclass","base-class","2010-07-16 15:51:08","1288","19","2012-12-03 06:56:03","0","1288","2010-07-16 15:51:08"
"135","baseclasses","base-class","2010-07-16 15:51:08","1288","6","2011-02-14 15:35:06","0","1288","2010-07-16 15:51:08"
"136","batch-process","batch-processing","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"137","batchprocessing","batch-processing","2010-07-16 15:51:08","1288","1","2012-03-01 07:18:32","0","1288","2010-07-16 15:51:08"
"148","bit-field","bit-fields","2010-07-16 15:51:08","1288","4","2012-11-21 12:18:58","0","1288","2010-07-16 15:51:08"
"149","bitfields","bit-fields","2010-07-16 15:51:08","1288","33","2012-12-06 07:37:06","0","1288","2010-07-16 15:51:08"
"150","bitfield","bit-fields","2010-07-16 15:51:08","1288","38","2012-11-01 04:43:29","0","1288","2010-07-16 15:51:08"
"151","book","books","2010-07-16 15:51:08","1288","374","2012-12-06 03:37:14","0","1288","2010-07-16 15:51:08"
"152","book-recommendation","books","2010-07-16 15:51:08","1288","14","2011-09-12 08:35:20","0","1288","2010-07-16 15:51:08"
"153","code-snippet","code-snippets","2010-07-16 15:51:08","1288","21","2011-06-27 12:54:51","0","1288","2010-07-16 15:51:08"
"154","codesnippets","code-snippets","2010-07-16 15:51:08","1288","11","2011-07-03 14:11:10","0","1288","2010-07-16 15:51:08"
"155","codesnippet","code-snippets","2010-07-16 15:51:08","1288","3","2011-07-03 14:11:10","0","1288","2010-07-16 15:51:08"
"156","snippets","code-snippets","2010-07-16 15:51:08","1288","50","2012-06-29 09:25:32","0","1288","2010-07-16 15:51:08"
"157","snippet","code-snippets","2010-07-16 15:51:08","1288","55","2012-11-15 10:28:19","0","1288","2010-07-16 15:51:08"
"158","code-style","coding-style","2010-07-16 15:51:08","1288","95","2012-10-26 18:12:57","0","1288","2010-07-16 15:51:08"
"159","programming-style","coding-style","2010-07-16 15:51:08","1288","10","2011-07-22 21:54:41","0","1288","2010-07-16 15:51:08"
"160","xsrf","csrf","2010-07-16 15:51:08","1288","32","2012-04-24 13:07:00","0","1288","2010-07-16 15:51:08"
"161","datamining","data-mining","2010-07-16 15:51:08","1288","197","2012-12-04 19:18:00","0","1288","2010-07-16 15:51:08"
"162","dal","data-access-layer","2010-07-16 15:51:08","1288","101","2012-12-05 02:36:38","0","1288","2010-07-16 15:51:08"
"163","dataaccesslayer","data-access-layer","2010-07-16 15:51:08","1288","29","2011-06-15 13:12:38","0","1288","2010-07-16 15:51:08"
"164","di","dependency-injection","2010-07-16 15:51:08","1288","97","2012-11-21 12:34:51","0","1288","2010-07-16 15:51:08"
"167","discussions","discussion","2010-07-16 15:51:08","1288","6","2012-02-13 11:59:10","0","1288","2010-07-16 15:51:08"
"168","discuss","discussion","2010-07-16 15:51:08","1288","2","2011-04-14 14:26:43","0","1288","2010-07-16 15:51:08"
"169","conversation","discussion","2010-07-16 15:51:08","1288","33","2012-02-21 07:57:55","0","1288","2010-07-16 15:51:08"
"170","conversations","discussion","2010-07-16 15:51:08","1288","7","2011-04-09 18:48:28","0","1288","2010-07-16 15:51:08"
"171","ddd","domain-driven-design","2010-07-16 15:51:08","1288","707","2012-11-22 07:36:03","0","1288","2010-07-16 15:51:08"
"173","drag-drop","drag-and-drop","2010-07-16 15:51:08","1288","10","2012-11-15 16:21:52","0","1288","2010-07-16 15:51:08"
"174","dragdrop","drag-and-drop","2010-07-16 15:51:08","1288","71","2012-12-05 15:51:31","0","1288","2010-07-16 15:51:08"
"175","draganddrop","drag-and-drop","2010-07-16 15:51:08","1288","30","2012-11-11 13:39:41","0","1288","2010-07-16 15:51:08"
"176","dont-repeat-yourself","dry","2010-07-16 15:51:08","1288","6","2011-08-01 06:22:13","0","1288","2010-07-16 15:51:08"
"177","daylight-savings","dst","2010-07-16 15:51:08","1288","33","2011-07-14 21:11:05","0","1288","2010-07-16 15:51:08"
"178","daylight-savings-time","dst","2010-07-16 15:51:08","1288","42","2011-08-07 22:53:32","0","1288","2010-07-16 15:51:08"
"179","daylight","dst","2010-07-16 15:51:08","1288","13","2012-09-07 09:51:05","0","1288","2010-07-16 15:51:08"
"180","duplicate","duplicates","2010-07-16 15:51:08","1288","442","2012-12-07 22:54:52","0","1288","2010-07-16 15:51:08"
"181","fix-protocol","fix","2010-07-16 15:51:08","1288","5","2010-10-11 19:45:38","0","1288","2010-07-16 15:51:08"
"182","filedownload","file-download","2010-07-16 15:51:08","1288","38","2012-11-27 09:33:01","0","1288","2010-07-16 15:51:08"
"183","fileupload","file-upload","2010-07-16 15:51:08","1288","442","2012-12-05 15:25:28","0","1288","2010-07-16 15:51:08"
"184","font","fonts","2010-07-16 15:51:08","1288","1185","2012-12-08 12:37:36","0","1288","2010-07-16 15:51:08"
"185","fractal","fractals","2010-07-16 15:51:08","1288","33","2012-12-03 23:15:28","0","1288","2010-07-16 15:51:08"
"186","programming-history","history","2010-07-16 15:51:08","1288","5","2011-02-01 18:57:48","0","1288","2010-07-16 15:51:08"
"188","icon","icons","2010-07-16 15:51:08","1288","762","2012-12-07 18:49:26","0","1288","2010-07-16 15:51:08"
"190","if","if-statement","2010-07-16 15:51:08","1288","1099","2012-12-07 22:06:11","0","1288","2010-07-16 15:51:08"
"194","inheritence","inheritance","2010-07-16 15:51:08","1288","126","2012-12-09 01:55:17","0","1288","2010-07-16 15:51:08"
"195","i18n","internationalization","2010-07-16 15:51:08","1288","1440","2012-12-09 00:57:32","0","1288","2010-07-16 15:51:08"
"196","ioc","inversion-of-control","2010-07-16 15:51:08","1288","430","2012-11-22 17:05:26","0","1288","2010-07-16 15:51:08"
"197","interprocess-communicatio","ipc","2010-07-16 15:51:08","1288","39","2011-06-06 06:04:05","0","1288","2010-07-16 15:51:08"
"198","keybinding","key-bindings","2010-07-16 15:51:08","1288","51","2012-12-05 03:47:52","0","1288","2010-07-16 15:51:08"
"199","keybindings","key-bindings","2010-07-16 15:51:08","1288","33","2012-10-01 20:26:27","0","1288","2010-07-16 15:51:08"
"200","key-binding","key-bindings","2010-07-16 15:51:08","1288","6","2012-09-01 12:38:52","0","1288","2010-07-16 15:51:08"
"201","licence","licensing","2010-07-16 15:51:08","1288","54","2012-11-20 16:44:32","0","1288","2010-07-16 15:51:08"
"202","licences","licensing","2010-07-16 15:51:08","1288","10","2012-01-10 22:32:41","0","1288","2010-07-16 15:51:08"
"203","licence-agreement","licensing","2010-07-16 15:51:08","1288","8","2012-06-08 06:16:21","0","1288","2010-07-16 15:51:08"
"204","licence-agreements","licensing","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"205","license","licensing","2010-07-16 15:51:08","1288","336","2012-12-07 13:14:44","0","1288","2010-07-16 15:51:08"
"206","licenses","licensing","2010-07-16 15:51:08","1288","35","2012-11-02 12:16:34","0","1288","2010-07-16 15:51:08"
"207","license-agreement","licensing","2010-07-16 15:51:08","1288","4","2010-12-11 17:16:32","0","1288","2010-07-16 15:51:08"
"208","license-agreements","licensing","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"209","l10n","localization","2010-07-16 15:51:08","1288","203","2012-09-19 00:53:46","0","1288","2010-07-16 15:51:08"
"210","liskov-substitution","lsp","2010-07-16 15:51:08","1288","21","2011-06-18 22:06:27","0","1288","2010-07-16 15:51:08"
"211","liskov-substitution-prin","lsp","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"212","liskov-substitution-princ","lsp","2010-07-16 15:51:08","1288","3","2011-08-04 08:06:06","0","1288","2010-07-16 15:51:08"
"213","mac-addr","mac-address","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"214","macaddress","mac-address","2010-07-16 15:51:08","1288","25","2012-10-18 12:49:56","0","1288","2010-07-16 15:51:08"
"215","marshaling","marshalling","2010-07-16 15:51:08","1288","29","2012-12-07 11:34:15","0","1288","2010-07-16 15:51:08"
"216","marshal","marshalling","2010-07-16 15:51:08","1288","73","2012-12-06 22:46:46","0","1288","2010-07-16 15:51:08"
"219","method-chains","method-chaining","2010-07-16 15:51:08","1288","8","2010-11-24 10:23:41","0","1288","2010-07-16 15:51:08"
"220","method-chain","method-chaining","2010-07-16 15:51:08","1288","4","2011-02-05 19:07:41","0","1288","2010-07-16 15:51:08"
"221","operator","operator-keyword","2010-07-16 15:51:08","1288","521","2012-12-05 02:50:12","0","1288","2010-07-16 15:51:08"
"222","pathfinding","path-finding","2010-07-16 15:51:08","1288","93","2012-12-03 11:09:14","0","1288","2010-07-16 15:51:08"
"223","plugin","plugins","2010-07-16 15:51:08","1288","2761","2012-12-08 23:05:29","0","1288","2010-07-16 15:51:08"
"224","plug-in","plugins","2010-07-16 15:51:08","1288","71","2012-12-07 18:02:43","0","1288","2010-07-16 15:51:08"
"225","plug-ins","plugins","2010-07-16 15:51:08","1288","8","2012-11-18 13:00:59","0","1288","2010-07-16 15:51:08"
"226","regexp","regex","2010-07-16 15:51:08","1288","1191","2012-12-08 10:09:18","0","1288","2010-07-16 15:51:08"
"227","regular-expression","regex","2010-07-16 15:51:08","1288","2318","2012-11-23 10:28:29","0","1288","2010-07-16 15:51:08"
"228","regular-expressions","regex","2010-07-16 15:51:08","1288","1217","2012-11-11 12:25:25","0","1288","2010-07-16 15:51:08"
"229","regularexpression","regex","2010-07-16 15:51:08","1288","351","2012-12-06 03:08:53","0","1288","2010-07-16 15:51:08"
"230","regularexpressions","regex","2010-07-16 15:51:08","1288","280","2012-11-01 00:56:13","0","1288","2010-07-16 15:51:08"
"231","single-responsibility","srp","2010-07-16 15:51:08","1288","10","2011-07-22 22:42:25","0","1288","2010-07-16 15:51:08"
"232","single-responsibility-pri","srp","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"233","template","templates","2010-07-16 15:51:08","1288","2806","2012-12-08 17:50:48","0","1288","2010-07-16 15:51:08"
"236","time-zone","timezone","2010-07-16 15:51:08","1288","4","2012-09-08 16:37:25","0","1288","2010-07-16 15:51:08"
"237","twitterapi","twitter-api","2010-07-16 15:51:08","1288","97","2012-08-30 06:27:09","0","1288","2010-07-16 15:51:08"
"238","typesafety","type-safety","2010-07-16 15:51:08","1288","5","2010-11-24 13:09:06","0","1288","2010-07-16 15:51:08"
"240","ux","user-experience","2010-07-16 15:51:08","1288","110","2012-11-13 17:13:37","0","1288","2010-07-16 15:51:08"
"241","units-of-measure","units-of-measurement","2010-07-16 15:51:08","1288","7","2011-11-19 17:26:23","0","1288","2010-07-16 15:51:08"
"242","units","units-of-measurement","2010-07-16 15:51:08","1288","28","2012-11-28 18:21:17","0","1288","2010-07-16 15:51:08"
"243","windows-api","winapi","2010-07-16 15:51:08","1288","201","2012-11-22 18:17:09","0","1288","2010-07-16 15:51:08"
"245","win32-api","winapi","2010-07-16 15:51:08","1288","54","2011-07-30 08:59:46","0","1288","2010-07-16 15:51:08"
"246","asp-net","asp.net","2010-07-16 15:51:08","1288","93","2012-10-08 10:16:45","0","1288","2010-07-16 15:51:08"
"247","asp-net-mvc","asp.net-mvc","2010-07-16 15:51:08","1288","95","2012-11-16 16:55:09","0","1288","2010-07-16 15:51:08"
"248","asp-net-mvc2","asp.net-mvc-2","2010-07-16 15:51:08","1288","260","2011-09-09 10:23:38","0","1288","2010-07-16 15:51:08"
"249","asp-net-mvc-2","asp.net-mvc-2","2010-07-16 15:51:08","1288","31","2011-09-06 07:25:36","0","1288","2010-07-16 15:51:08"
"250","asp.net-mvc2","asp.net-mvc-2","2010-07-16 15:51:08","1288","297","2012-08-29 19:38:44","0","1288","2010-07-16 15:51:08"
"251","mvc2","asp.net-mvc-2","2010-07-16 15:51:08","1288","729","2012-12-06 14:43:17","0","1288","2010-07-16 15:51:08"
"252","mvc-2","asp.net-mvc-2","2010-07-16 15:51:08","1288","23","2012-08-23 17:30:31","0","1288","2010-07-16 15:51:08"
"255","c#.net","c#","2010-07-16 15:51:08","1288","1898","2012-12-07 17:01:44","0","1288","2010-07-16 15:51:08"
"263","ef","entity-framework","2010-07-16 15:51:08","1288","394","2012-12-06 13:09:21","0","1288","2010-07-16 15:51:08"
"264","ef4","entity-framework-4","2010-07-16 15:51:08","1288","458","2012-10-20 00:44:04","0","1288","2010-07-16 15:51:08"
"265","entity-framework4","entity-framework-4","2010-07-16 15:51:08","1288","24","2012-09-27 18:25:44","0","1288","2010-07-16 15:51:08"
"266","window-form","winforms","2010-07-16 15:51:08","1288","8","2011-07-24 01:03:53","0","1288","2010-07-16 15:51:08"
"267","windows-form","winforms","2010-07-16 15:51:08","1288","64","2012-08-21 11:47:36","0","1288","2010-07-16 15:51:08"
"268","window-forms","winforms","2010-07-16 15:51:08","1288","7","2012-08-30 13:41:01","0","1288","2010-07-16 15:51:08"
"270","windows-form-designer","windows-forms-designer","2010-07-16 15:51:08","1288","7","2010-11-25 08:46:05","0","1288","2010-07-16 15:51:08"
"271","app.config","app-config","2010-07-16 15:51:08","1288","319","2012-11-21 18:07:59","0","1288","2010-07-16 15:51:08"
"273","bdb","berkeley-db","2010-07-16 15:51:08","1288","17","2012-05-09 02:23:39","0","1288","2010-07-16 15:51:08"
"274","berkeleydb","berkeley-db","2010-07-16 15:51:08","1288","16","2011-09-01 11:51:13","0","1288","2010-07-16 15:51:08"
"275","bdbje","berkeley-db-je","2010-07-16 15:51:08","1288","4","2011-05-26 17:35:53","0","1288","2010-07-16 15:51:08"
