posts_id,Body,tags,title
80,"<p>I've written a database generation script in sql, and want to execute it in my Adobe air application:</p>

<pre><code>Create Table tRole (<br>    roleID integer Primary Key<br>    ,roleName varchar(40)<br>);<br>Create Table tFile (  <br>    fileID integer Primary Key<br>    ,fileName varchar(50)<br>    ,fileDescription varchar(500)<br>    ,thumbnailID integer<br>    ,fileFormatID integer<br>    ,categoryID integer<br>    ,isFavorite boolean<br>    ,dateAdded date<br>    ,globalAccessCount integer<br>    ,lastAccessTime date<br>    ,downloadComplete boolean<br>    ,isNew boolean<br>    ,isSpotlight boolean<br>    ,duration varchar(30)<br>); <br>Create Table tCategory (  <br>    categoryID integer Primary Key<br>    ,categoryName varchar(50)<br>    ,parent_categoryID integer<br>);<br>...<br></code></pre>

<p>I execute this in Air using the following methods:</p>

<pre><code>    public static function RunSqlFromFile(fileName:String):void {<br>        var file:File = File.applicationDirectory.resolvePath(fileName);<br>        var stream:FileStream = new FileStream();<br>        stream.open(file, FileMode.READ)<br>        var strSql:String = stream.readUTFBytes(stream.bytesAvailable);      <br>        NonQuery(strSql);<br><br>    }<br><br>    public static function NonQuery(strSQL:String):void<br>    {<br>        var sqlConnection:SQLConnection = new SQLConnection();<br>        sqlConnection.open(File.applicationStorageDirectory.resolvePath(DBPATH);<br>        var sqlStatement:SQLStatement = new SQLStatement();<br>        sqlStatement.text = strSQL;<br>        sqlStatement.sqlConnection = sqlConnection;<br>        try <br>        {<br>            sqlStatement.execute();<br>        } <br>        catch (error:SQLError)<br>        {<br>            Alert.show(error.toString());<br>        }<br>    }<br></code></pre>

<p>No errors are generated, however only tRole exists. It seems that it only looks at the first query (up to the semicolon- if I remove it, the query fails). Is there anyway to call multiple queries in one statement?</p>",<flex><actionscript-3><air>,"Adobe air - SQLStatement.execute() - Multiple queries in one statement"
85,"<p>What are your best practices around creating flat file database structures in PHP?  A lot of the more mature PHP flat file frameworks I see out there attempt to implement SQL-like query syntax, which is over the top for my purposes in most cases (I would just use a database at that point).</p>

<p>Are there any elegant tricks out there to get good performance and features with the small code overhead one would want by taking on this problem in the first place?</p>",<php><sql><database>,"Flat File Databases in PHP"
88,"<p>So I find myself porting a game that was originally written for the Win32 API to Linux (well, porting the OS X port of the Win32 port to Linux), and have implemented QueryPerformanceCounter by giving the uSeconds since the process start up:    </p>

<pre><code>BOOL QueryPerformanceCounter(LARGE_INTEGER* performanceCount)
{
    gettimeofday(&amp;currentTimeVal, NULL);
    performanceCount-&gt;QuadPart = (currentTimeVal.tv_sec - startTimeVal.tv_sec);
    performanceCount-&gt;QuadPart *= (1000 * 1000);
    performanceCount-&gt;QuadPart += (currentTimeVal.tv_usec - startTimeVal.tv_usec);

    return true;
}
</code></pre>

<p>This, coupled with QueryPerformanceFrequency() giving a constant 1000000 as the frequency works well <b>on my machine</b>, giving me a 64 bit variable that contains uSeconds since the program's start up. So <em>is this portable?</em> I don't want to discover it works differently if the kernel was compiled in a certain way or anything like that. I am fine with it being non-portable to something other than Linux, however.</p>
",<c++><c><linux><unix><timer>,"Is gettimeofday() guaranteed to be of microsecond resolution?"
90,"<p>Anyone know of any really good tutorials explaining branching and merging with Subversion? All the better if it's specific to Tortoise SVN</p>
",<svn><tortoisesvn><tutorials>,"Good branch/merge tutorials for Tortoise SVN?"
104,"<p>In .NET perspective:</p>

<ul>
<li>What is a <a href=""http://en.wikipedia.org/wiki/Memory%5Fleak"" rel=""nofollow"">Memory Leak</a>?</li>
<li>How to understand whether your application leaks? What are the effects?</li>
<li>How to prevent a memory leak?</li>
<li>If your application has memory leak, does it go away when the process exits or killed? Or do memory leaks in your application affects other processes on the system even after process completion?</li>
<li>And what about unmanaged code accessed via COM Interop and/or P/Invoke?</li>
</ul>

<p>These are the questions that I have some answers myself but not complete. What do you think?</p>
",<c#><.net><performance><memory><com-interop>,"Anatomy of a ""Memory Leak"""
108,"<p>I've been using <a href=""http://tortoisesvn.tigris.org/"" rel=""nofollow"">TortoiseSVN </a> in a Windows environment for quite some time.  It seems very feature-complete and nicely integrated into the Windows shell, and more importantly, it's fairly painless to teach to colleagues with little or no experience with source control.  <strong>However</strong>, since we have moved to Windows Vista 64bit, Tortoise has been very buggy and has seemed to cause lots of explorer.exe abnormalities and crashes.  This has happened both with older versions of the software and the latest version (1.5.1 build 13563).</p>

<p>I was curious if anyone has suggestions for other Subversion clients that will run on Windows (specifically Vista 64bit).  Developers here use a variety of text editors so using Visual Studio or Dreamweaver for SVN is not ideal.</p>

<p>I have heard great things about <a href=""http://www.zennaware.com/cornerstone/"" rel=""nofollow"">Cornerstone</a>, and would love something similar for Windows if it exists.</p>
",<windows><svn><64bit>,"Best Subversion clients for Windows Vista (64bit)"
109,"<p>Recently our site has been deluged with the resurgence of the ASPRox bot SQL Injection attack. Without going into details, the attack attempts to execute SQL code by encoding the T-SQL commands in an ASCII encoded BINARY string. It looks something like this:</p>

<pre><code>DECLARE%20@S%20NVARCHAR(4000);SET%20@S=CAST(0x44004500...06F007200%20AS%20NVARCHAR(4000));EXEC(@S);--
</code></pre>

<p>I was able to decode this in SQL, but I was a little wary of doing this since I didn't know exactly what was happening at the time.</p>

<p>I tried to write a simple decode tool so I could decode this type of text without even touching SQL server. The main part I need decoded is:</p>

<pre><code>CAST(0x44004500...06F007200 AS
NVARCHAR(4000))
</code></pre>

<p>I've tried all of the following commands with no luck:</p>

<pre><code>txtDecodedText.Text = 
    System.Web.HttpUtility.UrlDecode(txtURLText.Text);             
txtDecodedText.Text =
    Encoding.ASCII.GetString(Encoding.ASCII.GetBytes(txtURLText.Text));    
txtDecodedText.Text =
    Encoding.Unicode.GetString(Encoding.Unicode.GetBytes(txtURLText.Text));             
txtDecodedText.Text =
    Encoding.ASCII.GetString(Encoding.Unicode.GetBytes(txtURLText.Text));    
txtDecodedText.Text =
    Encoding.Unicode.GetString(Convert.FromBase64String(txtURLText.Text));
</code></pre>

<p>Can anybody suggest the proper way to translate this encoding without using SQL Server. Is is possible? I'll take VB.net code since I'm familiar with that too.</p>
",<c#><sql><vb.net><ascii><hex>,"Decoding T-SQL CAST in C#/VB.net"
120,"<p>Has anyone got experience creating SQL-based ASP.NET site-map providers?</p>

<p>I've got the default XML web.sitemap file working properly with my Menu and SiteMapPath controls.  But I'll need a way for the users of my site to create and modify pages dynamically.  I'll need to tie page viewing permissions into the standard ASP.NET membership system as well.</p>

<p>I'd like some advice on articles to read or video clips to watch.</p>
",<asp.net><sql><navigation><membership><sitemap>,"ASP.NET Site Maps"
123,"<p>Is there an existing application or library in Java which will allow me to take CSV data and create an XML file?  The XML tags would be provided through maybe the first row containing column headings.</p>",<java><xml><csv><data-conversion>,"Converting CSV File to XML in Java"
126,"<p>What is the ""purist"" or ""correct"" way to access an object's properties from within an object method that is not a getter/setter method?</p>

<p>I know that from outside of the object you should use a getter/setter, but from within would you just do:</p>

<p>Java:</p>

<pre><code>String property = this.property;
</code></pre>

<p>PHP:</p>

<pre><code>$property = $this-&gt;property;
</code></pre>

<p>or would you do:</p>

<p>Java:</p>

<pre><code>String property = this.getProperty();
</code></pre>

<p>PHP:</p>

<pre><code>$property = $this-&gt;getProperty();
</code></pre>

<p>Forgive me if my Java is a little off, it's been a year since I programmed in Java...</p>

<p><strong>EDIT:</strong></p>

<p>It seems people are assuming I am talking about private or protected variables/properties only. When I learned OO I was taught to use getters/setters for every single property even if it was public (and actually I was told never to make any variable/property public). So, I may be starting off from a false assumption from the get go. It appears that people answering this question are maybe saying that you should have public properties and that those don't need getters and setters, which goes against what I was taught, and what I was talking about, although maybe that needs to be discussed as well. That's probably a good topic for a different question though...</p>
",<java><php><oop><theory>,"How would you access Object properties from within an object method?"
129,"<p>I've been banging my head against SQL Server 2005 trying to get a lot of data out.  I've been given a database with nearly 300 tables in it and I need to turn this into a MySQL database.  My first call was to use bcp but unfortunately it doesn't produce valid CSV - strings aren't encapsulated so you can't deal with any row that has a string with a comma in it (or whatever you use as a delimiter) and I would still have to hand write all of the create table statements as obviously CSV doesn't tell you anything about the data types.</p>

<p>What would be better is if there was some tool that could connect to both SQL Server and MySQL and then do a copy.  You lose views, stored procedures, trigger, etc. but it isn't hard to copy a table that only uses base types from one DB to another... is it?</p>

<p>Does anybody know of such a tool?  I don't mind how many assumptions it makes or what simplifications occur, as long as it supports integer, float, datetime and string.  I have to do a lot of pruning, normalising, etc. anyway so I don't care about keeping keys, relationships or anything like that but I need the initial set of data in fast!</p>
",<sql><mysql><sql-server><csv><bcp>,"How to export data from SQL Server 2005 to MySQL"
134,"<p>I have and pretty standard table setup in a current application using the .net XSD DataSet and TableAdapter features. My contracts table consists of some standard contract information, with a column for the primary department. This column is a foreign key to my Departments table, where I store the basic department name, id, notes. This is all setup and functioning in my SQL Server.</p>

<p>When I use the XSD tool, I can drag both tables in at once and it auto detects/creates the foreign key I have between these two tables. This works great when I'm on my main page and am viewing contract data.</p>

<p>However, when I go to my administrative page to modify the department data. I typically do something like this:</p>

<pre><code>Dim dtDepartment As New DepartmentDataTable()<br>Dim taDepartment As New DepartmentTableAdapter()<br><br>taDepartment.Fill(dtDepartment)<br></code></pre>

<p>However, at this point an exception is thrown saying to the effect that there is a foreign key reference broken here, I'm guessing since I don't have the Contract DataTable filled. </p>

<p>Has anybody encountered this before? I know I can simply remove the foreign key from the XSD to make things work fine, but having the additional integrity check there and having the XSD schema match the SQL schema in the database is nice.</p>",<.net><database><xsd>,"XSD DataSets and ignoring foreign keys"
146,"<p>I have a website that plays mp3's in a flash player. If a user clicks 'play' the flash player automatically downloads an mp3 and starts playing it. </p>

<p>Is there an easy way to track how many times a particular song clip (or any binary file) is downloaded?</p>",<php><apache>,"How do I track file downloads with apache/PHP"
163,"<p>stackoverflow.com has a version number at the bottom: ""svn revision: 679""</p>

<p>I want to use such automatic versioning with my .NET web, win forms, wpf projects/solutions.</p>",<.net><asp.net><svn><versioning>,"How do I sync the SVN revision number with my ASP.NET web site?"
164,"<p>Hello,</p>

<p>we are using WMV Videos on an internal sites, and we are embedding them into web sites. Now, this works quite good on Internet Explorer, but not on Firefox. I've found ways to make it work in Firefox, but then it stops working in Internet Explorer.</p>

<p>We do not want to use Silverlight just yet, especially we can be sure that all clients will be Windows XP with installed Windows Media Player. I just wonder: Is there some sort of Universal Code that embeds WMP into both IE and Firefox, or do we need to implement some user-agent-detection and deliver different HTML for different Browsers?</p>
",<windows><embed><media>,"Embedding Windows Media Player for all Browsers"
173,"<p>I've been wanting to get my databases under version control.  Does anyone have any advice or recommended articles to get me started?</p>

<p>I'll always want to have at least <em>some</em> data in there (as <a href=""http://stackoverflow.com/users/80/alumb"" rel=""nofollow"">alumb</a> mentions: user types and administrators).  And I'll probably often want a large collection of generated test data for performance measurement.</p>
",<sql-server><database><version-control>,"How do I version my MS SQL database in SVN?"
174,"<p>I want to print HTML from a C# web service.  The Web Browser control is overkill, and does not function well in a service-environment, nor does it function well on a system with very tight security constraints.  Is there any sort of free .NET library that will support the printing of a basic HTML page?  Here is the code I have so far, that is not running properly.</p>

<pre><code>public void PrintThing(string document)
{
    if (Thread.CurrentThread.GetApartmentState() != ApartmentState.STA)
    {
        Thread thread =
            new Thread((ThreadStart) delegate { PrintDocument(document); });
        thread.SetApartmentState(ApartmentState.STA);
        thread.Start();
    }
    else
    {
        PrintDocument(document);
    }
}

protected void PrintDocument(string document)
{
    WebBrowser browser = new WebBrowser();
    browser.DocumentText = document;
    while (browser.ReadyState != WebBrowserReadyState.Complete)
    {
        Application.DoEvents();
    }
    browser.Print();
}
</code></pre>

<p>This works fine when called from UI-type threads, but nothing happens when called from a service-type thread.  Changing Print() to ShowPrintPreviewDialog() yields the following IE script error:</p>

<p>Error: 'dialogArguments.___IE_PrintType' is null or not an object
URL: res://ieframe.dll/preview.dlg</p>

<p>And a small empty print preview dialog appears.</p>
",<c#><html><web-services><printing>,"How do I print an HTML document from a web service?"
175,"<p>I want to be able to display a normal youtube video with overlaid annotations. This consists of colored rectangles for each frame. The only requirement is that this be done programatically. Youtube has annotations now, but require you use their front end to create them by hand. I want to be able to generate them. What's the best way of doing this?</p>

<p>Some ideas:</p>

<ol>
<li>Build your own flash player (ew?)</li>
<li>Somehow draw over the youtube flash player. Will this work?</li>
<li>Reverse engineer &amp; hijack youtube's annotation system. Either messing with the local files or redirecting it's attempt to download the annotations. (using greasemonkey? Firefox plugin?)</li>
</ol>

<p>Ideas that don't count: download the video, edit it, re-encode it, and upload it :P</p>",<annotations><youtube><reverse-engineering>,"Annotating YouTube videos programatically"
176,"<p>On one Linux Server running Apache and PHP 5, we got multiple Virtual Hosts with separate logfiles and everything. The only thing we cannot seem to separate between virtual hosts is the php error_log. Overriding this setting in the &lt;Location&gt; of the httpd.conf does not seem to do anything.</p>

<p>Did I overlook something? Is there a way to have separate php error_logs for each Virtual Host?</p>",<php><apache>,"Apache/PHP: error_log per Virtual Host?"
177,"<p>Please recommend a good library for programmatically creating PDF documents in .NET applications.  </p>
",<.net><pdf>,"How do I programmatically create a PDF in my .NET application?"
180,"<p>This is something I've pseudo-solved many times and never quite found a solution that's stuck with me. The problem is to come up with a way to generate N colors that are as distinguishable as possible where N is a parameter.</p>",<algorithm><language-agnostic><colors><color-space>,"Function for creating color wheels"
192,"<p>One of the fun parts of multi-cultural programming are numbers formats.</p>

<p>Americans use 10,000.50, Germans use 10.000,50, French use 10 000,50 etc.
My first approach would be: Take the string, parse it backwards, until I encounter a separator and use this as my decimal separator. The obvious flaw with that: 10.000 would be interpreted as 10.
Another approach: if the string contains 2 different non-numeric characters, use the last one as the decimal separator and discard the others. If I only have one, check if it occurs more than once and discard it if it does. It it only appears once, check if it has 3 digits after it. If yes, discard it, otherwise use it as decimal separator.</p>

<p>The obvious ""best solution"" would be to detect the User's culture or Browser, but that does not work if you have a Frenchman an an en-US Windows/Browser.</p>

<p>I just wonder: does the .net Framework contain some mythical black magic floating point parser that is better than Double.(Try)Parse() in trying to auto-detect the number format?</p>",<c#><.net><asp.net><vb.net><internationalization><globalization>,"Floating Point Number parsing: Is there a Catch All algorithm?"
194,"<p>Yes, I know.  The existence of a running copy of SQL Server 6.5 in 2008 is absurd.</p>

<p>That stipulated, what is the best way to migrate from 6.5 to 2005?  Is there any direct path?  Most of the documentation I've found deals with upgrading 6.5 to 7.</p>

<p>Should I forget about the native SQL Server upgrade utilities, script out all of the objects and data, and try to recreate from scratch?</p>

<p>I was going to attempt the upgrade this weekend, but server issues pushed it back till next.  So, any ideas would be welcomed during the course of the week.</p>

<p><em>Update.  This is how I ended up doing it:</em></p>

<ul>
<li>Back up the database in question and Master on 6.5.</li>
<li>Execute SQL Server 2000's instcat.sql against 6.5's Master.  This allows SQL Server 2000's OLEDB provider to connect to 6.5.</li>
<li>Use SQL Server 2000's standalone ""Import and Export Data"" to create a DTS package, using OLEDB to connect to 6.5.  This successfully copied all 6.5's tables to a new 2005 database (also using OLEDB).</li>
<li>Use 6.5's Enterprise Manager to script out all of the database's indexes and triggers to a .sql file.</li>
<li>Execute that .sql file against the new copy of the database, in 2005's Management Studio.</li>
<li>Use 6.5's Enterprise Manager to script out all of the stored procedures.</li>
<li>Execute that .sql file against the 2005 database.  Several dozen sprocs had issues making them incompatible with 2005.  Mainly non-ANSI joins and quoted identifier issues.</li>
<li>Corrected all of those issues and re-executed the .sql file.</li>
<li>Recreated the 6.5's logins in 2005 and gave them appropriate permissions.</li>
</ul>

<p>There was a bit of rinse/repeat when correcting the stored procedures (there were hundreds of them to correct), but the upgrade went great otherwise.</p>

<p>Being able to use Management Studio instead of Query Analyzer and Enterprise Manager 6.5 is such an amazing difference.  A few report queries that took 20-30 seconds on the 6.5 database are now running in 1-2 seconds, without any modification, new indexes, or anything.  I didn't expect that kind of immediate improvement.</p>
",<sql-server><migration>,"Upgrading SQL Server 6.5"
227,"<p>Lets say i have an array like such</p>

<pre><code>$artist = array(""the roots"",""michael jackson"",""billy idol"",""more"",""and more"",""and_YET_MORE"");
$count = array(5,3,9,1,1,3);
</code></pre>

<p>and i want to generate a tag clound that will have artist with a higher number in count be a H6 tag and the lowest being H1?</p>

<p>any ideas?</p>
",<php><arrays><cloud><tag-cloud>,"What's the best way to generate a tag cloud from an array? (using h1 through h6 for sizing)"
